TransFactor	Target
E2F1	CHAF1A
E2F1	CKAP2L
E2F1	CLSPN
E2F1	DEPDC1
E2F1	DEPDC1B
E2F1	DIAPH3
E2F1	DLGAP5
E2F1	DSN1
E2F1	DTL
E2F1	E2F2
E2F1	E2F7
E2F1	E2F8
E2F1	ECT2
E2F1	EME1
E2F1	ERCC6L
E2F1	ESPL1
E2F1	EXO1
E2F1	EZH2
E2F1	FAM64A
E2F1	FAM72B
E2F1	FAM72D
E2F1	FAM83D
E2F1	FANCG
E2F1	FANCI
E2F1	FBXO5
E2F1	FEN1
E2F1	FOXM1
E2F1	GINS1
E2F1	GINS2
E2F1	GPR19
E2F1	GSG2
E2F1	GTSE1
E2F1	HAUS8
E2F1	HJURP
E2F1	IQGAP3
E2F1	KIAA1524
E2F1	KIF15
E2F1	KIF18A
E2F1	KIF18B
E2F1	KIF20A
E2F1	KIF23
E2F1	KIF2C
E2F1	KIF4A
E2F1	KIFC1
E2F1	KPNA2
E2F1	MCM10
E2F1	MCM2
E2F1	MCM4
E2F1	MCM5
E2F1	MCM7
E2F1	MELK
E2F1	MND1
E2F1	MYBL2
E2F1	NCAPG
E2F1	NCAPG2
E2F1	NCAPH
E2F1	NDC80
E2F1	NEK2
E2F1	NUF2
E2F1	NUSAP1
E2F1	OIP5
E2F1	ORC1
E2F1	PCNA
E2F1	PKMYT1
E2F1	PLK1
E2F1	POLA2
E2F1	POLQ
E2F1	PRC1
E2F1	PSMC3IP
E2F1	RACGAP1
E2F1	RAD51
E2F1	RAD51AP1
E2F1	RAD54L
E2F1	RALY
E2F1	RBL1
E2F1	RELT
E2F1	RFC4
E2F1	RNASEH2A
E2F1	RRM2
E2F1	SGOL1
E2F1	SKA1
E2F1	SKA3
E2F1	SPAG5
E2F1	SPC25
E2F1	TACC3
E2F1	TCF19
E2F1	TICRR
E2F1	TIMELESS
E2F1	TK1
E2F1	TOP2A
E2F1	TPX2
E2F1	TRIP13
E2F1	TROAP
E2F1	TTK
E2F1	TUBG1
E2F1	TYMS
E2F1	UBE2C
E2F1	UBE2S
E2F1	UBE2T
E2F1	UHRF1
E2F1	WDR62
E2F1	ZWINT
E2F2	ARHGAP11A
E2F2	ARHGAP11B
E2F2	ASF1B
E2F2	ASPM
E2F2	ATAD5
E2F2	AURKA
E2F2	BLM
E2F2	CASC5
E2F2	CCNA2
E2F2	CCNF
E2F2	CDC6
E2F2	CEP85
E2F2	CIT
E2F2	CLSPN
E2F2	DLGAP5
E2F2	DONSON
E2F2	E2F1
E2F2	E2F8
E2F2	ECT2
E2F2	EXO1
E2F2	FBXO5
E2F2	FOXM1
E2F2	GSG2
E2F2	HJURP
E2F2	HNRNPR
E2F2	KIAA1524
E2F2	KIF15
E2F2	KIF23
E2F2	LMNB1
E2F2	MCM7
E2F2	MYBL2
E2F2	NDC80
E2F2	NEIL3
E2F2	NUSAP1
E2F2	PKMYT1
E2F2	PRC1
E2F2	RAD54L
E2F2	RCC2
E2F2	SGOL1
E2F2	SKA1
E2F2	STIL
E2F2	TPX2
E2F2	UHRF1
E2F2	WDR62
E2F3	ABCF1
E2F3	ATAT1
E2F3	BAG6
E2F3	BLOC1S5
E2F3	BRD2
E2F3	BRPF3
E2F3	CAP2
E2F3	KIF13A
E2F3	NFYA
E2F3	NUP153
E2F3	PRRC2A
E2F3	RANBP9
E2F3	SMIM13
E2F3	SNRNP48
E2F3	SRPK1
