TransFactor	Target
ATF1	SLC30A5
ATF1	SLC30A7
ATF1	SMARCA5
ATF1	SMEK2
ATF1	SMIM14
ATF1	SNRPA
ATF1	SOCS7
ATF1	SP2
ATF1	SPATA6
ATF1	SPSB3
ATF1	SPTLC1
ATF1	SPTY2D1
ATF1	SRFBP1
ATF1	SS18L2
ATF1	SSNA1
ATF1	STK38L
ATF1	STRAP
ATF1	STXBP3
ATF1	SUGP1
ATF1	SYNCRIP
ATF1	TAF10
ATF1	TAF2
ATF1	TBC1D15
ATF1	TBC1D17
ATF1	TEAD1
ATF1	TFCP2
ATF1	THAP3
ATF1	THAP7
ATF1	TIPRL
ATF1	TMED2
ATF1	TMED5
ATF1	TMED7
ATF1	TMEM106B
ATF1	TMEM160
ATF1	TMEM208
ATF1	TMEM222
ATF1	TMEM259
ATF1	TOR1AIP1
ATF1	TOR1AIP2
ATF1	TPR
ATF1	TRAPPC1
ATF1	TRAPPC6A
ATF1	TRIP11
ATF1	TRMT1L
ATF1	TRUB1
ATF1	TSNAX
ATF1	TUT1
ATF1	TWF1
ATF1	TXLNG
ATF1	UBL3
ATF1	UBQLN1
ATF1	UBR2
ATF1	UBXN4
ATF1	UCHL5
ATF1	UCN
ATF1	UFL1
ATF1	USP20
ATF1	USP32
ATF1	USP6NL
ATF1	USP8
ATF1	USP9X
ATF1	UTP23
ATF1	VCPIP1
ATF1	VEZT
ATF1	VPS37A
ATF1	VTA1
ATF1	WBP1
ATF1	WBP11
ATF1	WDR26
ATF1	WNK1
ATF1	XPO4
ATF1	XPOT
ATF1	XRN2
ATF1	YIPF6
ATF1	YME1L1
ATF1	YTHDF3
ATF1	YY1
ATF1	ZBTB10
ATF1	ZBTB11
ATF1	ZC3H13
ATF1	ZFAND2B
ATF1	ZFP91
ATF1	ZFPL1
ATF1	ZFX
ATF1	ZNF143
ATF1	ZNF146
ATF1	ZNF426
ATF1	ZNF444
ATF1	ZNF511
ATF1	ZNF585A
ATF1	ZNF593
ATF1	ZNF644
ATF1	ZNF668
ATF1	ZNF678
ATF1	ZNF688
ATF1	ZNF718
ATF1	ZNF791
ATF1	ZRANB3
ATF2	AAAS
ATF2	AAMDC
ATF2	AARSD1
ATF2	AASDHPPT
ATF2	ABCB10
ATF2	ABCE1
ATF2	ABHD11
ATF2	ABHD14A
ATF2	ABHD17B
ATF2	ABHD2
ATF2	ABI1
ATF2	ABI2
ATF2	ACBD3
ATF2	ACBD4
ATF2	ACBD5
ATF2	ACD
ATF2	ACER2
ATF2	ACOT8
ATF2	ACSL3
ATF2	ACTR2
ATF2	ADAM10
ATF2	ADAM17
ATF2	ADAM22
ATF2	ADAM9
ATF2	ADAR
ATF2	ADAT1
ATF2	ADAT3
ATF2	ADCK5
ATF2	ADGRL2
ATF2	ADNP
ATF2	ADNP2
ATF2	ADPRHL2
ATF2	ADRM1
ATF2	AFF1
ATF2	AFF4
ATF2	AGFG1
ATF2	AGGF1
ATF2	AGO1
ATF2	AGO3
ATF2	AGPAT2
ATF2	AHCYL2
ATF2	AIP
ATF2	AKAP10
ATF2	AKAP11
ATF2	AKAP2
ATF2	AKAP9
ATF2	ALG10
ATF2	ALKBH4
ATF2	ALKBH6
ATF2	ALKBH7
ATF2	ALS2
ATF2	AMER1
ATF2	ANAPC1
ATF2	ANAPC15
ATF2	ANKRD13C
ATF2	ANKRD13D
ATF2	ANKRD17
ATF2	ANKRD44
ATF2	ANKRD54
ATF2	ANKS1A
ATF2	ANO6
ATF2	AP1AR
ATF2	AP1G1
ATF2	AP2S1
ATF2	AP3B1
ATF2	AP3M1
ATF2	AP4E1
ATF2	APC
ATF2	API5
ATF2	APOPT1
ATF2	APPBP2
ATF2	APPL1
ATF2	APTX
ATF2	AQR
ATF2	ARF5
ATF2	ARFGAP2
ATF2	ARFGEF2
ATF2	ARFRP1
ATF2	ARHGAP11B
ATF2	ARHGAP21
ATF2	ARHGAP42
ATF2	ARHGDIA
ATF2	ARHGEF12
ATF2	ARID1A
ATF2	ARID1B
ATF2	ARIH1
ATF2	ARL15
ATF2	ARL16
ATF2	ARL2
ATF2	ARL5A
ATF2	ARL5B
ATF2	ARL6IP4
ATF2	ARMC1
ATF2	ARMCX3
ATF2	ARMCX5
ATF2	ARNT
ATF2	ARPC3
ATF2	ARPC4
ATF2	ARPC5L
ATF2	ARSK
ATF2	ASAH2B
ATF2	ASCC2
ATF2	ASCC3
ATF2	ASH1L
ATF2	ASPH
ATF2	ASPSCR1
ATF2	ASXL2
ATF2	ATAD1
ATF2	ATAD3B
ATF2	ATE1
ATF2	ATF1
ATF2	ATF6
ATF2	ATF7
ATF2	ATF7IP
ATF2	ATG4B
ATF2	ATP11B
ATF2	ATP2A2
ATF2	ATP2B4
ATF2	ATP2C1
ATF2	ATP5D
ATF2	ATP5E
ATF2	ATP5G2
ATF2	ATP5H
ATF2	ATP5I
ATF2	ATP5J2
ATF2	ATP5L
ATF2	ATP6V0B
ATF2	ATP6V1F
ATF2	ATP7A
ATF2	ATPIF1
ATF2	ATRIP
ATF2	ATRN
ATF2	ATRX
ATF2	ATXN1L
ATF2	ATXN7
ATF2	AUP1
ATF2	AURKAIP1
ATF2	AVL9
ATF2	AZIN1
ATF2	B3GALT6
ATF2	B3GAT3
ATF2	B4GALT7
ATF2	B9D2
ATF2	BABAM1
ATF2	BACH1
ATF2	BAG4
ATF2	BANF1
ATF2	BARD1
ATF2	BAZ2A
ATF2	BBS7
ATF2	BBX
ATF2	BCL7B
ATF2	BCL9
ATF2	BCLAF1
ATF2	BDP1
ATF2	BGLAP
ATF2	BIN3
ATF2	BIRC6
ATF2	BLOC1S1
ATF2	BLOC1S6
ATF2	BLZF1
ATF2	BMP2K
ATF2	BMPR1A
ATF2	BMPR2
ATF2	BOD1L1
ATF2	BPTF
ATF2	BRAF
ATF2	BRCA2
ATF2	BRIP1
ATF2	BRMS1
ATF2	BROX
ATF2	BRPF3
ATF2	BSCL2
ATF2	BUD31
ATF2	C11orf30
ATF2	C11orf31
ATF2	C11orf49
ATF2	C11orf68
ATF2	C12orf10
ATF2	C12orf49
ATF2	C12orf66
ATF2	C12orf73
ATF2	C14orf2
ATF2	C14orf80
ATF2	C16orf13
ATF2	C17orf49
ATF2	C17orf59
ATF2	C17orf62
ATF2	C19orf24
ATF2	C19orf43
ATF2	C19orf53
ATF2	C19orf60
ATF2	C19orf70
ATF2	C19orf73
ATF2	C1orf123
ATF2	C1orf35
ATF2	C1orf50
ATF2	C21orf2
ATF2	C2orf69
ATF2	C5orf24
ATF2	C5orf42
ATF2	C5orf45
ATF2	C5orf51
ATF2	C6orf1
ATF2	C6orf203
ATF2	C6orf226
ATF2	C7orf55
ATF2	C8orf37
ATF2	C8orf59
ATF2	C8orf82
ATF2	C9orf116
ATF2	C9orf16
ATF2	C9orf41
ATF2	C9orf89
ATF2	CAB39
ATF2	CALCRL
ATF2	CAMSAP2
ATF2	CAND1
ATF2	CANX
ATF2	CAPN10
ATF2	CAPN7
ATF2	CAPNS1
ATF2	CAPRIN1
ATF2	CASC5
ATF2	CASP8AP2
ATF2	CBLL1
ATF2	CBX6
ATF2	CCDC101
ATF2	CCDC106
ATF2	CCDC107
ATF2	CCDC12
ATF2	CCDC124
ATF2	CCDC130
ATF2	CCDC137
ATF2	CCDC138
ATF2	CCDC159
ATF2	CCDC171
ATF2	CCDC186
ATF2	CCDC24
ATF2	CCDC47
ATF2	CCDC53
ATF2	CCDC61
ATF2	CCDC84
ATF2	CCDC85B
ATF2	CCDC88B
ATF2	CCDC92
ATF2	CCDC94
ATF2	CCM2
ATF2	CCNI
ATF2	CCNT1
ATF2	CCPG1
ATF2	CCS
ATF2	CCSER2
ATF2	CD151
ATF2	CD2AP
ATF2	CDC14B
ATF2	CDC37
ATF2	CDC40
ATF2	CDC42BPA
ATF2	CDC5L
ATF2	CDC73
ATF2	CDK10
ATF2	CDK12
ATF2	CDK2AP2
ATF2	CDK5
ATF2	CDK5RAP3
ATF2	CDK9
ATF2	CDKL5
ATF2	CDKN2AIP
ATF2	CDPF1
