TransFactor	Target
AR	ROGDI
AR	ROPN1L
AR	RORC
AR	RP1
AR	RPA4
AR	RPH3AL
AR	RRAGD
AR	RRM2
AR	RRP7A
AR	RRS1
AR	RTKN
AR	RUVBL1
AR	SAPCD1
AR	SCGB1D2
AR	SCNN1A
AR	SCP2
AR	SCRG1
AR	SDHAF3
AR	SEC13
AR	SELENBP1
AR	SEMA6D
AR	SERINC3
AR	SERPINA5
AR	SERPINA6
AR	SERPINB5
AR	SERPINB7
AR	SEZ6L
AR	SFXN5
AR	SH3BGRL
AR	SH3BP2
AR	SH3D19
AR	SH3D21
AR	SH3GLB2
AR	SHROOM3
AR	SIAE
AR	SIAH2
AR	SIDT2
AR	SLAIN2
AR	SLC18A2
AR	SLC1A6
AR	SLC25A33
AR	SLC2A12
AR	SLC35E2
AR	SLC38A11
AR	SLC38A3
AR	SLC39A11
AR	SLC41A3
AR	SLC44A4
AR	SLC44A5
AR	SLC6A8
AR	SLC7A2
AR	SLC7A8
AR	SLURP1
AR	SMARCAD1
AR	SMIM1
AR	SMPD3
AR	SMYD2
AR	SORD
AR	SOX30
AR	SPC25
AR	SPTBN4
AR	SRCIN1
AR	SRD5A1
AR	SREK1
AR	SRSF12
AR	SSBP2
AR	ST20
AR	ST3GAL4
AR	ST6GAL2
AR	STT3B
AR	SUV39H1
AR	SYBU
AR	TAC1
AR	TADA2B
AR	TAP1
AR	TAPT1
AR	TATDN1
AR	TAZ
AR	TBC1D1
AR	TBC1D16
AR	TBC1D20
AR	TBC1D9B
AR	TBCB
AR	TBX19
AR	TCEAL1
AR	TCF7L1
AR	TCP11L2
AR	TEN1
AR	TESK1
AR	TET3
AR	THOC1
AR	THTPA
AR	TIMMDC1
AR	TIMP3
AR	TIPARP
AR	TK2
AR	TLE1
AR	TLE3
AR	TMC5
AR	TMEM123
AR	TMEM127
AR	TMEM145
AR	TMEM161B
AR	TMEM206
AR	TMSB10
AR	TNFSF13
AR	TNKS
AR	TNS2
AR	TOM1L2
AR	TRAPPC11
AR	TRIQK
AR	TRIT1
AR	TRPM6
AR	TTC21A
AR	TTC26
AR	TTC39A
AR	TUBA8
AR	TUBB4A
AR	TXNL4B
AR	UBE2E2
AR	UBE2Q1
AR	UBE2T
AR	UNC5A
AR	USP39
AR	USP53
AR	VCAN
AR	VPS13B
AR	VPS18
AR	WARS
AR	WBP1L
AR	WDR25
AR	WDR3
AR	WNT10A
AR	XRCC2
AR	YIPF5
AR	ZBTB20
AR	ZEB1
AR	ZFP2
AR	ZKSCAN2
AR	ZMYND8
AR	ZNF146
AR	ZNF17
AR	ZNF234
AR	ZNF286A
AR	ZNF286B
AR	ZNF287
