TransFactor	Target
AR	NPR3
AR	NSMCE1
AR	NXN
AR	OAZ3
AR	OXA1L
AR	PABPC4
AR	PACSIN2
AR	PARP11
AR	PDCD5
AR	PDE9A
AR	PDGFD
AR	PDIA5
AR	PERM1
AR	PFDN4
AR	PHAX
AR	PHF20
AR	PHF21A
AR	PHKG2
AR	PHPT1
AR	PIGK
AR	PIN4
AR	PKN1
AR	PLP2
AR	PMM2
AR	PNPLA5
AR	POLD1
AR	POLR2B
AR	POLR2I
AR	POLR2J
AR	PPA1
AR	PPCDC
AR	PPIA
AR	PPTC7
AR	PRKACB
AR	PSMB4
AR	PSMB9
AR	PSMD13
AR	PSME2
AR	PTCD2
AR	PTCH1
AR	PTP4A3
AR	PTPRJ
AR	PTS
AR	PUS7L
AR	RAB13
AR	RAB19
AR	RABL3
AR	RALGAPA1
AR	RARB
AR	RASGRF2
AR	RASSF8
AR	RBM24
AR	RBMX2
AR	RCBTB1
AR	RENBP
AR	RFX3
AR	RFX4
AR	RGS7BP
AR	RNF130
AR	RNF182
AR	RNF214
AR	RNF4
AR	RNF5
AR	RNH1
AR	RPAP1
AR	RPGR
AR	RPL10
AR	RPLP0
AR	RPS5
AR	RPS9
AR	RRP7A
AR	RRS1
AR	RTKN
AR	SACS
AR	SCNN1A
AR	SCTR
AR	SEC13
AR	SEMA6A
AR	SEMA6D
AR	SERINC3
AR	SERPINA1
AR	SETD1B
AR	SETD5
AR	SETDB2
AR	SGK1
AR	SH3BP5
AR	SH3GLB2
AR	SHANK3
AR	SIAH2
AR	SIK2
AR	SIVA1
AR	SLC10A6
AR	SLC11A1
AR	SLC20A2
AR	SLC26A4
AR	SLC31A1
AR	SLC35E2
AR	SLC37A4
AR	SLC38A11
AR	SMARCAD1
AR	SMIM1
AR	SNRNP48
AR	SNTB2
AR	SOCS5
AR	SOX30
AR	SOX5
AR	SREK1
AR	ST3GAL2
AR	ST6GAL1
AR	ST6GAL2
AR	STIM1
AR	STT3B
AR	SULT1C4
AR	SWAP70
AR	SYBU
AR	SYT3
AR	TACC1
AR	TADA2B
AR	TAF3
AR	TAP1
AR	TATDN1
AR	TAZ
AR	TBC1D16
AR	TBC1D20
AR	TBC1D24
AR	TBCB
AR	TBX22
AR	TCF7L1
AR	TCP11L2
AR	TEN1
AR	TESK1
AR	TGIF1
AR	TIMP3
AR	TM4SF18
AR	TMEM105
AR	TMEM150A
AR	TMSB10
AR	TNFRSF1A
AR	TNIP1
AR	TNKS
AR	TNPO3
AR	TOM1L2
AR	TRAPPC11
AR	TRAPPC5
AR	TRIM63
AR	TRPM6
AR	TRRAP
AR	TTC1
AR	TTC26
AR	TTC33
AR	TTPAL
AR	TTYH2
AR	TYROBP
AR	UBE2E2
AR	UBE3C
AR	UBXN1
AR	UFC1
AR	UST
AR	VPS13B
AR	VPS18
AR	WBP1L
AR	WBSCR17
AR	WDR13
AR	WDR3
AR	WDR72
AR	WNT10A
AR	YPEL3
AR	ZBTB20
AR	ZEB1
AR	ZKSCAN2
AR	ZMYND11
AR	ZNF146
AR	ZNF157
AR	ZNF17
AR	ZNF185
AR	ZNF205
AR	ZNF234
AR	ZNF236
AR	ZNF286A
AR	ZNF287
AR	ZNF304
AR	ZNF354C
AR	ZNF358
AR	ZNF397
AR	ZNF407
AR	ZNF436
AR	ZNF471
AR	ZNF510
AR	ZNF569
AR	ZNF624
AR	ZNF644
ARID3A	ABCB8
ARID3A	ABI1
ARID3A	ACTR6
ARID3A	ADCY7
ARID3A	ADGRE2
ARID3A	ADPGK
ARID3A	AHCY
ARID3A	AIG1
ARID3A	AIM2
ARID3A	AIMP2
ARID3A	AKTIP
ARID3A	ALDOA
ARID3A	ALG14
ARID3A	AMICA1
ARID3A	AMN1
ARID3A	ANAPC13
ARID3A	ANAPC15
ARID3A	ANKMY2
ARID3A	ANLN
ARID3A	APBB1IP
ARID3A	APOO
ARID3A	ARHGEF1
ARID3A	ARID5B
ARID3A	ARRB2
ARID3A	ARSB
ARID3A	ASNA1
ARID3A	ASPM
ARID3A	ATAD2B
ARID3A	ATAD5
ARID3A	ATP5B
ARID3A	ATP5G1
ARID3A	ATP5H
ARID3A	ATP6V0E1
ARID3A	ATXN1
ARID3A	AURKB
ARID3A	BAZ1A
ARID3A	BAZ2A
ARID3A	BCAT1
ARID3A	BCL2L2
ARID3A	BDH1
ARID3A	BLVRB
ARID3A	C10orf128
ARID3A	C10orf32
ARID3A	C11orf1
ARID3A	C11orf71
ARID3A	C18orf32
ARID3A	C2
ARID3A	C5orf28
ARID3A	C7orf73
ARID3A	CAP1
ARID3A	CAPZA1
ARID3A	CASC5
ARID3A	CASP8
ARID3A	CASS4
ARID3A	CCDC18
ARID3A	CCDC88A
ARID3A	CCNT2
ARID3A	CCR2
ARID3A	CD84
ARID3A	CDCA2
ARID3A	CELSR3
ARID3A	CEP135
ARID3A	CEP85L
ARID3A	CFAP20
ARID3A	CFLAR
ARID3A	CHCHD2
ARID3A	CHD2
ARID3A	CISD1
ARID3A	CMC4
ARID3A	CNOT6
ARID3A	COA1
ARID3A	COPS4
ARID3A	COPS7A
ARID3A	COPZ1
ARID3A	COQ5
ARID3A	COQ6
ARID3A	COQ7
ARID3A	COX7B
ARID3A	CRKL
ARID3A	CRLF3
ARID3A	CRTAM
ARID3A	CTAGE5
ARID3A	CXCL11
ARID3A	CYCS
ARID3A	DAD1
ARID3A	DCTPP1
ARID3A	DDX58
ARID3A	DIP2A
ARID3A	DNAJC19
ARID3A	DNM2
ARID3A	DNMT1
ARID3A	DPP9
ARID3A	DTD2
ARID3A	ECI2
ARID3A	ECSIT
ARID3A	EEF2KMT
ARID3A	ELL
ARID3A	EMC7
ARID3A	ESD
ARID3A	ETFDH
ARID3A	EZH2
ARID3A	FAM193A
ARID3A	FANCD2
ARID3A	FBXO36
ARID3A	FCGR2A
ARID3A	FCHSD2
ARID3A	FERMT3
ARID3A	FH
ARID3A	FOXQ1
ARID3A	FPR3
ARID3A	FUNDC2
ARID3A	GALNT5
ARID3A	GEN1
ARID3A	GGPS1
ARID3A	GHITM
ARID3A	GLRX5
ARID3A	GMPR2
ARID3A	GNA12
ARID3A	GOT1
ARID3A	GOT2
ARID3A	GRK6
ARID3A	GTF2H5
ARID3A	HADH
ARID3A	HAX1
ARID3A	HMMR
ARID3A	HSD17B4
ARID3A	HSPA9
ARID3A	IFT46
ARID3A	IL31RA
ARID3A	IMMP2L
ARID3A	IRF9
ARID3A	JARID2
ARID3A	KDM7A
ARID3A	KHSRP
ARID3A	KIF15
ARID3A	KIFC1
ARID3A	KIZ
ARID3A	KMO
ARID3A	KMT2A
ARID3A	KMT2B
ARID3A	KMT2E
ARID3A	KYNU
ARID3A	LCK
ARID3A	LMNB2
ARID3A	LPXN
ARID3A	LSM5
ARID3A	LYRM1
ARID3A	LYZ
ARID3A	MAN1A1
ARID3A	MAP3K3
ARID3A	MBNL1
ARID3A	MCCC2
ARID3A	MDP1
ARID3A	MEP1A
ARID3A	METTL5
ARID3A	MIDN
ARID3A	MKKS
ARID3A	MLST8
ARID3A	MMP15
ARID3A	MPC1
ARID3A	MRPL24
ARID3A	MRPS33
ARID3A	MYO9B
ARID3A	NAA20
ARID3A	NABP1
ARID3A	NADK2
ARID3A	NDE1
ARID3A	NDST2
ARID3A	NDUFAF4
ARID3A	NDUFS4
ARID3A	NEK6
ARID3A	NEURL3
ARID3A	NFATC2IP
ARID3A	NFIA
ARID3A	NFKBIZ
ARID3A	NLRC4
ARID3A	NSMCE1
ARID3A	NUDCD2
ARID3A	NUSAP1
ARID3A	OARD1
ARID3A	ORC1
ARID3A	P2RX5
ARID3A	PANK1
ARID3A	PARK7
ARID3A	PCBP2
