sample	StromalScore	ImmuneScore	ESTIMATEScore
TCGA-CF-A8HX-01	-2100.40441	-1296.751168	-3397.155578
TCGA-CF-A8HY-01	-2110.188984	-883.6032502	-2993.792234
TCGA-CF-A9FF-01	-1124.964258	-560.8371049	-1685.801363
TCGA-CF-A9FH-01	-2330.416773	-939.7202152	-3270.136988
TCGA-CF-A9FL-01	-838.5725556	-876.9462871	-1715.518843
TCGA-CF-A9FM-01	-2026.714918	-673.4163107	-2700.131229
TCGA-CU-A0YN-01	-612.6337344	-70.64877604	-683.2825105
TCGA-CU-A0YO-01	-907.9638653	-167.8214828	-1075.785348
TCGA-CU-A0YR-01	-423.5201924	302.350577	-121.1696154
TCGA-CU-A3KJ-01	-1494.152506	-410.070646	-1904.223152
TCGA-CU-A3QU-01	-2467.400029	-1077.829175	-3545.229204
TCGA-CU-A3YL-01	-1396.278528	-984.161991	-2380.440519
TCGA-CU-A5W6-01	-1477.739036	-700.2974726	-2178.036508
TCGA-CU-A72E-01	-705.1753571	-551.5388753	-1256.714232
TCGA-DK-A1A3-01	-300.5175699	-335.5401662	-636.057736
TCGA-DK-A1A5-01	-225.3320955	-492.2062697	-717.5383652
TCGA-DK-A1A6-01	-1091.59467	-34.46522105	-1126.059891
TCGA-DK-A1A7-01	-1611.085785	-1022.436746	-2633.522531
TCGA-DK-A1AA-01	-1894.727289	-801.917392	-2696.644681
TCGA-DK-A1AB-01	361.0881338	90.54833325	451.636467
TCGA-DK-A1AC-01	-501.6347826	-82.11786405	-583.7526467
TCGA-DK-A1AD-01	-899.1867775	-620.1117545	-1519.298532
TCGA-DK-A1AE-01	-1763.054651	-1266.919899	-3029.97455
TCGA-DK-A1AF-01	725.0927677	675.3048017	1400.397569
TCGA-DK-A1AG-01	-2245.168419	-748.9612975	-2994.129717
TCGA-DK-A2HX-01	497.133113	-652.5813663	-155.4482533
TCGA-DK-A2I1-01	250.4498213	171.6993257	422.149147
TCGA-DK-A2I2-01	-302.2697085	658.5112362	356.2415277
TCGA-DK-A2I4-01	756.3633076	1869.637882	2626.001189
TCGA-DK-A2I6-01	-1559.362024	-996.2328597	-2555.594884
TCGA-DK-A3IK-01	-935.7769769	-976.9283186	-1912.705295
TCGA-DK-A3IL-01	-1256.101726	-1192.01429	-2448.116016
TCGA-DK-A3IM-01	-2150.77364	-1381.228783	-3532.002423
TCGA-DK-A3IN-01	26.54145253	79.67768863	106.2191412
TCGA-DK-A3IQ-01	1278.950845	-488.1136403	790.8372049
TCGA-DK-A3IS-01	-2335.902852	-937.7359093	-3273.638761
TCGA-DK-A3IT-01	-622.9877373	-498.6695868	-1121.657324
TCGA-DK-A3IU-01	402.5084753	1894.598532	2297.107007
TCGA-DK-A3IV-01	-1992.711277	210.5799268	-1782.13135
TCGA-DK-A3WW-01	-981.2197952	1049.269019	68.04922348
TCGA-DK-A3WX-01	-428.5999696	425.2499497	-3.350019848
