sample	Cuproptosis_activity_score
TCGA.CU.A5W6.01	1.114265295
TCGA.CU.A72E.01	0.934265286
TCGA.DK.A1A3.01	0.949554447
TCGA.DK.A1A5.01	1.049817932
TCGA.DK.A1A6.01	0.250131073
TCGA.DK.A1A7.01	0.695119
TCGA.DK.A1AA.01	0.973707541
TCGA.DK.A1AB.01	-1.304772082
TCGA.DK.A1AC.01	-0.03838581
TCGA.DK.A1AD.01	0.238622921
TCGA.DK.A1AE.01	1.178754516
TCGA.DK.A1AF.01	-0.263152848
TCGA.DK.A1AG.01	0.271761207
TCGA.DK.A2HX.01	-0.924245912
TCGA.DK.A2I1.01	1.168581438
TCGA.DK.A2I2.01	0.054500326
TCGA.DK.A2I4.01	-1.34132572
TCGA.DK.A2I6.01	-0.348661942
TCGA.DK.A3IK.01	0.294597632
TCGA.DK.A3IL.01	0.05065941
TCGA.DK.A3IM.01	-1.103257335
TCGA.DK.A3IN.01	-1.152798088
TCGA.DK.A3IQ.01	-0.332255473
TCGA.DK.A3IS.01	1.096044278
TCGA.DK.A3IT.01	-0.034314859
TCGA.DK.A3IU.01	-1.119722733
TCGA.DK.A3IV.01	-1.222873069
TCGA.DK.A3WW.01	0.835621406
TCGA.DK.A3WX.01	-0.722981048
TCGA.DK.A3WY.01	0.076163549
TCGA.DK.A3X1.01	0.621783708
TCGA.DK.A3X2.01	-0.347125881
TCGA.DK.A6AV.01	-0.094266489
TCGA.DK.A6AW.01	0.902084911
TCGA.DK.A6B0.01	1.044425068
TCGA.DK.A6B1.01	0.142894842
TCGA.DK.A6B2.01	0.104719827
TCGA.DK.A6B5.01	0.169059038
TCGA.DK.A6B6.01	-0.129803105
TCGA.DK.AA6L.01	-1.330093699
TCGA.DK.AA6M.01	-1.33001106
TCGA.DK.AA6P.01	-0.691177098
TCGA.DK.AA6Q.01	-0.880435628
TCGA.DK.AA6R.01	-1.229497365
TCGA.DK.AA6S.01	0.078180303
TCGA.DK.AA6T.01	0.057208259
TCGA.DK.AA6U.01	-0.855488564
TCGA.DK.AA6W.01	-0.053126699
TCGA.DK.AA6X.01	1.27014471
TCGA.DK.AA71.01	0.741699473
TCGA.DK.AA74.01	0.129160411
TCGA.DK.AA75.01	0.72975882
TCGA.DK.AA76.01	0.069132096
TCGA.DK.AA77.01	0.258213551
TCGA.E5.A2PC.01	0.164466686
TCGA.E5.A4TZ.01	-1.050030223
TCGA.E5.A4U1.01	-0.032656382
TCGA.E7.A3X6.01	-0.869925536
TCGA.E7.A3Y1.01	0.053921348
TCGA.E7.A4IJ.01	-0.101897293
TCGA.E7.A4XJ.01	0.640431129
TCGA.E7.A519.01	0.091082329
TCGA.E7.A541.01	-0.934261002
TCGA.E7.A5KE.01	-0.708991403
TCGA.E7.A5KF.01	0.625326733
TCGA.E7.A677.01	-1.121370976
TCGA.E7.A678.01	0.909118409
TCGA.E7.A6MD.01	-0.051082983
TCGA.E7.A6ME.01	-1.087327442
TCGA.E7.A6MF.01	-0.104132182
TCGA.E7.A7DU.01	0.476637644
TCGA.E7.A7DV.01	-0.316114446
TCGA.E7.A7PW.01	0.065980548
TCGA.E7.A7XN.01	-0.318751906
TCGA.E7.A85H.01	0.210014388
TCGA.E7.A8O7.01	0.02541385
TCGA.E7.A8O8.01	0.415463072
TCGA.E7.A97P.01	0.351769404
TCGA.E7.A97Q.01	0.014652984
TCGA.FD.A3B3.01	-1.248537046
TCGA.FD.A3B4.01	-1.193703047
TCGA.FD.A3B5.01	-1.202519151
TCGA.FD.A3B6.01	-1.324977069
TCGA.FD.A3B7.01	-1.315383814
TCGA.FD.A3B8.01	-1.386186818
TCGA.FD.A3N5.01	-1.246802443
TCGA.FD.A3N6.01	-0.160140846
TCGA.FD.A3NA.01	0.115763991
TCGA.FD.A3SJ.01	-0.062500477
TCGA.FD.A3SL.01	-0.911671145
TCGA.FD.A3SM.01	0.277685678
TCGA.FD.A3SN.01	-1.142218575
TCGA.FD.A3SO.01	-0.40384863
TCGA.FD.A3SP.01	-0.231704649
TCGA.FD.A3SQ.01	-0.183357954
TCGA.FD.A3SR.01	-0.255968885
TCGA.FD.A3SS.01	-0.860121347
TCGA.FD.A43N.01	0.18721193
TCGA.FD.A43P.01	-0.792391449
TCGA.FD.A43S.01	0.294600379
TCGA.FD.A43U.01	0.023033217
TCGA.FD.A43X.01	0.219883608
TCGA.FD.A43Y.01	-1.011551377
TCGA.FD.A5BR.01	0.456679964
TCGA.FD.A5BS.01	-0.945814162
TCGA.FD.A5BT.01	-0.359957447
TCGA.FD.A5BU.01	-0.855276481
TCGA.FD.A5BV.01	0.130359283
TCGA.FD.A5BX.01	0.401848462
TCGA.FD.A5BY.01	-1.105960747
TCGA.FD.A5BZ.01	0.080226916
TCGA.FD.A5C0.01	-0.819925721
TCGA.FD.A5C1.01	-0.346267207
TCGA.FD.A62N.01	-1.285066276
TCGA.FD.A62O.01	-1.137475669
TCGA.FD.A62P.01	0.564390502
TCGA.FD.A62S.01	-0.593782956
TCGA.FD.A6TA.01	0.044016629
TCGA.FD.A6TB.01	0.218696705
TCGA.FD.A6TC.01	-1.194814252
TCGA.FD.A6TD.01	-1.014559738
TCGA.FD.A6TE.01	0.689173923
TCGA.FD.A6TF.01	-0.979709369
TCGA.FD.A6TG.01	-0.304007356
TCGA.FD.A6TH.01	-0.928000015
TCGA.FD.A6TI.01	0.97364959
TCGA.FD.A6TK.01	0.11133081
TCGA.FJ.A3Z7.01	-0.73625025
TCGA.FJ.A3Z9.01	0.101039309
TCGA.FJ.A3ZE.01	0.406333727
TCGA.FJ.A3ZF.01	-0.671300452
TCGA.FJ.A871.01	0.268549503
TCGA.FT.A3EE.01	-0.190645191
TCGA.FT.A61P.01	-1.045913882
TCGA.G2.A2EC.01	0.139723954
TCGA.G2.A2EF.01	0.998774248
TCGA.G2.A2EJ.01	-1.274658394
TCGA.G2.A2EK.01	-0.755927418
TCGA.G2.A2EL.01	-0.229748315
TCGA.G2.A2EO.01	0.822674207
TCGA.G2.A2ES.01	-0.354492765
TCGA.G2.A3IB.01	-0.189901708
TCGA.G2.A3IE.01	0.946950076
TCGA.G2.A3VY.01	0.065017019
TCGA.G2.AA3B.01	0.957659071
TCGA.G2.AA3C.01	0.762711225
TCGA.G2.AA3D.01	1.000252155
TCGA.G2.AA3F.01	-0.146053321
TCGA.GC.A3BM.01	-0.580289332
TCGA.GC.A3BM.11	-1.260014473
TCGA.GC.A3I6.01	-1.029380065
TCGA.GC.A3OO.01	-1.090632317
TCGA.GC.A3RB.01	-0.940920381
TCGA.GC.A3RC.01	-1.25204161
TCGA.GC.A3RD.01	0.014573348
TCGA.GC.A3WC.01	-0.28273191
TCGA.GC.A3WC.11	0.815721771
TCGA.GC.A3YS.01	-1.26599561
TCGA.GC.A4ZW.01	-1.079749544
TCGA.GC.A6I1.01	-1.349126631
TCGA.GC.A6I3.01	0.620568743
TCGA.GC.A6I3.11	0.328317852
TCGA.GD.A2C5.01	0.104423162
TCGA.GD.A2C5.11	-0.915935761
TCGA.GD.A3OP.01	0.005318767
TCGA.GD.A3OP.11	0.91105722
TCGA.GD.A3OQ.01	-0.169315559
TCGA.GD.A3OQ.11	0.569759954
TCGA.GD.A3OS.01	-1.309192416
TCGA.GD.A6C6.01	0.282866059
TCGA.GD.A76B.01	1.165259817
TCGA.GU.A42P.01	0.235772545
TCGA.GU.A42Q.01	-1.052838455
TCGA.GU.A42R.01	0.259555772
TCGA.GU.A762.01	-0.065473544
TCGA.GU.A763.01	1.406120281
TCGA.GU.A764.01	-1.059124531
TCGA.GU.A766.01	-1.074391088
TCGA.GU.A767.01	0.768796429
TCGA.GU.AATO.01	-0.016955775
TCGA.GU.AATP.01	0.001898713
TCGA.GU.AATQ.01	0.839155849
TCGA.GV.A3JV.01	-0.982018454
TCGA.GV.A3JW.01	0.002392696
TCGA.GV.A3JX.01	-0.97035819
TCGA.GV.A3JZ.01	-1.033226053
TCGA.GV.A3QF.01	1.052679489
TCGA.GV.A3QG.01	0.085673736
TCGA.GV.A3QH.01	0.162236595
TCGA.GV.A3QI.01	0.236077357
TCGA.GV.A3QK.01	0.422552453
TCGA.GV.A40E.01	-0.418105574
TCGA.GV.A40G.01	-0.593876378
TCGA.GV.A6ZA.01	1.043263913
TCGA.H4.A2HO.01	1.243785457
TCGA.H4.A2HQ.01	0.07998786
TCGA.HQ.A2OE.01	-0.988543626
TCGA.HQ.A2OF.01	0.100519328
TCGA.HQ.A5ND.01	1.120121689
TCGA.HQ.A5NE.01	-1.344399064
TCGA.K4.A3WS.01	-0.055063616
TCGA.K4.A3WU.01	1.114040904
TCGA.K4.A3WV.01	0.236382079
TCGA.K4.A3WV.11	1.119619598
TCGA.K4.A4AB.01	-0.321302222
TCGA.K4.A4AC.01	0.24647791
TCGA.K4.A54R.01	-0.872436258
TCGA.K4.A54R.11	-1.20980202
TCGA.K4.A5RH.01	-1.104294954
TCGA.K4.A5RI.01	1.324299292
TCGA.K4.A5RI.11	0.044111423
TCGA.K4.A5RJ.01	0.233752856
TCGA.K4.A6FZ.01	-1.252012977
TCGA.K4.A6MB.01	-0.735385478
TCGA.K4.A83P.01	-0.383557659
TCGA.K4.AAQO.01	0.92330141
TCGA.KQ.A41N.01	-0.028488793
TCGA.KQ.A41O.01	0.467901481
TCGA.KQ.A41P.01	1.167517324
TCGA.KQ.A41Q.01	-0.097665866
TCGA.KQ.A41R.01	0.499564032
TCGA.KQ.A41S.01	-0.313005311
TCGA.LC.A66R.01	-1.199522841
TCGA.LT.A5Z6.01	0.177896113
TCGA.LT.A8JT.01	-0.142702917
TCGA.MV.A51V.01	-0.277319368
TCGA.PQ.A6FI.01	-0.923225797
TCGA.PQ.A6FN.01	-0.370603521
TCGA.R3.A69X.01	0.197395731
TCGA.S5.A6DX.01	0.445302072
TCGA.S5.AA26.01	0.447596375
TCGA.SY.A9G0.01	-1.098539149
TCGA.SY.A9G5.01	0.131500393
TCGA.UY.A78K.01	-0.643211249
TCGA.UY.A78L.01	-0.985351208
TCGA.UY.A78M.01	0.782149505
TCGA.UY.A78N.01	1.109805772
TCGA.UY.A78O.01	0.834498077
TCGA.UY.A78P.01	0.882352413
TCGA.UY.A8OB.01	-0.894479798
TCGA.UY.A8OC.01	-0.404068309
TCGA.UY.A8OD.01	-0.016197384
TCGA.UY.A9PA.01	-0.918445508
TCGA.UY.A9PB.01	-1.067851739
TCGA.UY.A9PD.01	1.2183086
TCGA.UY.A9PE.01	0.280961559
TCGA.UY.A9PF.01	1.02629508
TCGA.UY.A9PH.01	1.008459876
TCGA.XF.A8HB.01	-0.010021976
TCGA.XF.A8HC.01	0.21971948
TCGA.XF.A8HD.01	-1.22639565
TCGA.XF.A8HE.01	0.853440317
TCGA.XF.A8HF.01	1.43716585
TCGA.XF.A8HG.01	1.388028748
TCGA.XF.A8HH.01	0.364781667
TCGA.XF.A8HI.01	0.36561045
TCGA.XF.A9SH.01	1.024399502
TCGA.XF.A9SI.01	-0.984488248
TCGA.XF.A9SJ.01	0.230747772
TCGA.XF.A9SK.01	0.240864215
TCGA.XF.A9SL.01	0.171490586
TCGA.XF.A9SM.01	-1.127667292
TCGA.XF.A9SP.01	0.131472216
TCGA.XF.A9ST.01	0.112296955
TCGA.XF.A9SU.01	0.325397015
TCGA.XF.A9SV.01	0.061436599
TCGA.XF.A9SW.01	0.530657956
TCGA.XF.A9SX.01	-1.057138056
TCGA.XF.A9SY.01	-0.91223449
TCGA.XF.A9SZ.01	-0.056809101
TCGA.XF.A9T0.01	0.174762692
TCGA.XF.A9T2.01	0.201101332
TCGA.XF.A9T3.01	-1.231384016
TCGA.XF.A9T4.01	-0.302403456
TCGA.XF.A9T5.01	1.039375343
TCGA.XF.A9T6.01	-0.777988428
TCGA.XF.A9T8.01	0.162194414
TCGA.XF.AAME.01	-0.986725542
TCGA.XF.AAMG.01	0.300410621
TCGA.XF.AAMH.01	0.607145
TCGA.XF.AAMJ.01	-1.30761787
TCGA.XF.AAML.01	-0.212360907
TCGA.XF.AAMQ.01	0.397709094
TCGA.XF.AAMR.01	0.468180451
TCGA.XF.AAMT.01	-1.390956546
TCGA.XF.AAMW.01	-1.120797395
TCGA.XF.AAMX.01	0.082873931
TCGA.XF.AAMY.01	-0.070995432
TCGA.XF.AAMZ.01	0.134122735
TCGA.XF.AAN0.01	-0.025882239
TCGA.XF.AAN1.01	0.949633352
TCGA.XF.AAN2.01	-1.083076924
TCGA.XF.AAN3.01	-1.323202039
TCGA.XF.AAN4.01	0.968196443
TCGA.XF.AAN5.01	0.316775158
TCGA.XF.AAN7.01	-0.804415398
TCGA.XF.AAN8.01	-1.180799406
TCGA.YC.A89H.01	0.026523118
TCGA.YC.A8S6.01	-1.064171474
TCGA.YC.A9TC.01	1.346885638
TCGA.YF.AA3L.01	0.707486088
TCGA.YF.AA3M.01	-0.173443046
TCGA.ZF.A9R0.01	0.001238329
TCGA.ZF.A9R1.01	0.462369245
TCGA.ZF.A9R2.01	0.024993731
TCGA.ZF.A9R3.01	0.29550502
TCGA.ZF.A9R4.01	-0.054058711
TCGA.ZF.A9R5.01	0.674548208
TCGA.ZF.A9R7.01	0.127031968
TCGA.ZF.A9R9.01	0.193759847
TCGA.ZF.A9RC.01	-1.114482223
TCGA.ZF.A9RD.01	-0.447342393
TCGA.ZF.A9RE.01	-0.37236309
TCGA.ZF.A9RF.01	-1.272581008
TCGA.ZF.A9RL.01	0.968501338
TCGA.ZF.A9RM.01	-0.427360091
TCGA.ZF.A9RN.01	0.063653834
TCGA.ZF.AA4N.01	-0.382048733
TCGA.ZF.AA4R.01	-1.173906608
TCGA.ZF.AA4T.01	-0.202842473
TCGA.ZF.AA4U.01	1.297576045
TCGA.ZF.AA4V.01	-0.932370638
TCGA.ZF.AA4W.01	-1.091594548
TCGA.ZF.AA4X.01	-0.852449091
TCGA.ZF.AA51.01	-0.435182486
TCGA.ZF.AA52.01	-1.045995875
TCGA.ZF.AA53.01	0.071846803
TCGA.ZF.AA54.01	0.972284791
TCGA.ZF.AA56.01	0.449163047
TCGA.ZF.AA58.01	-1.271184089
TCGA.ZF.AA5H.01	-1.462303377
TCGA.ZF.AA5N.01	0.733386567
TCGA.ZF.AA5P.01	-0.7198223
TCGA.FA.8693.01	1.081614859
TCGA.FA.A4BB.01	0.112344924
TCGA.FA.A4XK.01	-0.236752238
TCGA.FA.A6HN.01	-0.872267419
TCGA.FA.A6HO.01	-0.366640722
TCGA.FA.A7DS.01	-0.333776339
TCGA.FA.A7Q1.01	0.942332703
TCGA.FA.A82F.01	-0.13198852
TCGA.FA.A86F.01	-1.018029624
TCGA.FF.8041.01	0.687696819
TCGA.FF.8042.01	1.080424123
TCGA.FF.8043.01	0.209575028
TCGA.FF.8046.01	0.870185297
TCGA.FF.8047.01	1.176228712
TCGA.FF.8061.01	0.676590623
TCGA.FF.8062.01	0.669005163
TCGA.FF.A7CQ.01	-0.143394917
TCGA.FF.A7CR.01	-0.292314445
TCGA.FF.A7CW.01	0.219487698
TCGA.FF.A7CX.01	1.051507381
TCGA.FM.8000.01	0.735014643
TCGA.G8.6324.01	-0.688642639
TCGA.G8.6325.01	-0.067402662
TCGA.G8.6326.01	-0.488165032
TCGA.G8.6906.01	0.808819681
TCGA.G8.6907.01	0.021497884
TCGA.G8.6909.01	0.043950687
TCGA.G8.6914.01	0.105571012
TCGA.GR.7351.01	1.039367519
TCGA.GR.7353.01	1.248354601
TCGA.GR.A4D4.01	-0.263660601
TCGA.GR.A4D5.01	0.765113219
TCGA.GR.A4D6.01	0.75775912
TCGA.GR.A4D9.01	-0.271783768
TCGA.GS.A9TQ.01	1.052557702
TCGA.GS.A9TT.01	-0.337087402
TCGA.GS.A9TU.01	-0.24548524
TCGA.GS.A9TV.01	-0.263497138
TCGA.GS.A9TW.01	-0.276717884
TCGA.GS.A9TX.01	-0.854661516
TCGA.GS.A9TY.01	0.228110064
TCGA.GS.A9TZ.01	-0.477782545
TCGA.GS.A9U3.01	-0.316398617
TCGA.GS.A9U4.01	-1.011593794
TCGA.RQ.A68N.01	1.127807741
TCGA.RQ.A6JB.01	0.773031853
TCGA.RQ.AAAT.01	1.102867986
TCGA.VB.A8QN.01	0.138388478
TCGA.2E.A9G8.01	0.885723035
TCGA.4E.A92E.01	0.013294362
TCGA.5B.A90C.01	-1.241878169
TCGA.5S.A9Q8.01	0.02618795
TCGA.A5.A1OH.01	0.894243494
TCGA.A5.A2K2.01	-1.050582051
TCGA.A5.A2K3.01	0.57541982
TCGA.A5.A2K4.01	-0.974734241
TCGA.A5.A2K5.01	0.309670416
TCGA.A5.A2K7.01	0.28880622
TCGA.A5.A3LO.01	0.149804721
TCGA.A5.A3LP.01	-1.175128514
TCGA.A5.A7WJ.01	0.189370113
TCGA.A5.A7WK.01	-0.925141631
TCGA.A5.AB3J.01	0.010391079
TCGA.AJ.A23N.01	-0.97802916
TCGA.AJ.A2QM.01	-0.207242458
TCGA.AJ.A2QO.01	1.228626659
TCGA.AJ.A3BD.01	-0.838103879
TCGA.AJ.A3BF.01	-0.814095732
TCGA.AJ.A3BG.01	1.064977267
TCGA.AJ.A3BH.01	-1.129569505
TCGA.AJ.A3BI.01	0.284627496
TCGA.AJ.A3BK.01	0.568036975
TCGA.AJ.A3EJ.01	-0.041239935
TCGA.AJ.A3EK.01	0.484216754
TCGA.AJ.A3EL.01	1.048907262
TCGA.AJ.A3EM.01	0.73159508
TCGA.AJ.A3I9.01	1.100485168
TCGA.AJ.A3IA.01	-0.967243396
TCGA.AJ.A3NC.01	0.817237091
TCGA.AJ.A3NC.11	0.307174507
TCGA.AJ.A3NE.01	0.215319128
TCGA.AJ.A3NE.11	-1.128931705
TCGA.AJ.A3NF.01	-0.081383158
TCGA.AJ.A3NG.01	0.430048807
TCGA.AJ.A3NH.01	-0.057318883
TCGA.AJ.A3NH.11	1.026797144
TCGA.AJ.A3OJ.01	0.942179815
TCGA.AJ.A3OK.01	-0.102166833
TCGA.AJ.A3OL.01	0.345750095
TCGA.AJ.A3QS.01	0.70735559
TCGA.AJ.A3TW.01	-0.212111627
TCGA.AJ.A5DV.01	0.896581266
TCGA.AJ.A5DW.01	1.200362268
TCGA.AJ.A6NU.01	-0.344102296
TCGA.AJ.A8CT.01	-0.816160489
TCGA.AJ.A8CV.01	0.942512586
TCGA.AJ.A8CW.01	0.891937765
TCGA.AP.A3K1.01	-0.248446929
TCGA.AP.A5FX.01	-0.184380835
TCGA.AX.A05W.01	-0.01416943
TCGA.AX.A05Y.11	0.591117754
TCGA.AX.A0IZ.11	0.962625856
TCGA.AX.A0J0.11	0.273514888
TCGA.AX.A1C7.01	0.253225058
TCGA.AX.A2H4.01	-1.199800624
TCGA.AX.A2HC.11	0.445051052
TCGA.AX.A2HD.11	0.443282808
TCGA.AX.A2HH.01	0.326586668
TCGA.AX.A2IN.01	-0.96210675
TCGA.AX.A3FS.01	-0.049668187
TCGA.AX.A3FT.01	0.795930819
TCGA.AX.A3FV.01	-0.007455561
TCGA.AX.A3FW.01	-0.060995979
TCGA.AX.A3FX.01	0.846605243
TCGA.AX.A3FZ.01	-0.074979885
TCGA.AX.A3G1.01	-0.634914993
TCGA.AX.A3G3.01	-1.088177789
TCGA.AX.A3G4.01	-0.120327108
TCGA.AX.A3G6.01	-0.701570604
TCGA.AX.A3G7.01	0.803632883
TCGA.AX.A3G8.01	0.333405118
TCGA.AX.A3G9.01	1.218028254
TCGA.AX.A3GB.01	0.068170885
TCGA.AX.A3GI.01	-0.248168356
TCGA.B5.A0JN.01	-0.242540233
TCGA.B5.A0JR.01	0.917176406
TCGA.B5.A0K9.01	-0.841510146
TCGA.B5.A11R.01	-0.131149223
TCGA.B5.A1MS.01	0.063714792
TCGA.B5.A1MW.01	0.675866045
TCGA.B5.A3F9.01	0.474723706
TCGA.B5.A3FA.01	1.058658551
TCGA.B5.A3FB.01	0.834730405
TCGA.B5.A3FC.01	1.348796608
TCGA.B5.A3FD.01	0.1482094
TCGA.B5.A3FH.01	0.365922877
TCGA.B5.A3S1.01	-0.065067772
TCGA.B5.A5OC.01	0.113334109
TCGA.B5.A5OD.01	-0.916436812
TCGA.B5.A5OE.01	-0.405539582
TCGA.BG.A0MK.01	-0.19076485
TCGA.BG.A2AD.11	0.086948766
TCGA.BG.A3EW.01	-0.12436154
TCGA.BG.A3EW.11	0.368903146
TCGA.BG.A3PP.01	-0.212749705
TCGA.BG.A3PP.11	0.066535314
