sample	Cuproptosis_positive	Cuproptosis_negative	Cuproptosis_activity_score
TCGA-G9-7510-01	-0.546904147	-0.660035714	0.113131567
TCGA-G9-7519-01	0.25981503	-0.615783052	0.875598082
TCGA-G9-7521-01	-0.256912523	-0.500468797	0.243556275
TCGA-G9-7522-01	-0.335594347	-0.64294779	0.307353444
TCGA-G9-7523-01	-0.417376909	-0.677362072	0.259985163
TCGA-G9-7525-01	0.396715421	-0.704610863	1.101326284
TCGA-G9-A9S0-01	0.72695535	-0.502514319	1.229469669
TCGA-G9-A9S4-01	0.320504026	-0.623340773	0.943844799
TCGA-G9-A9S7-01	0.61877625	-0.858031096	1.476807346
TCGA-H9-7775-01	0.268960627	-0.66325326	0.932213887
TCGA-H9-A6BX-01	-0.271149592	-0.697079175	0.425929582
TCGA-HC-7075-01	0.335384754	-0.528677695	0.864062449
TCGA-HC-7077-01	0.337311694	-0.466453053	0.803764748
TCGA-HC-7078-01	-0.389757857	-0.676137407	0.286379551
TCGA-HC-7079-01	-0.630175213	-0.435286847	-0.194888366
TCGA-HC-7080-01	-0.264748522	-0.629722613	0.364974091
TCGA-HC-7081-01	-0.64300897	-0.495286696	-0.147722274
TCGA-HC-7209-01	-0.410981231	-0.414887455	0.003906224
TCGA-HC-7210-01	-0.685369856	-0.567302836	-0.11806702
TCGA-HC-7211-01	-0.475454585	-0.658206432	0.182751847
TCGA-HC-7211-11	0.56324269	-0.855432467	1.418675157
TCGA-HC-7212-01	-0.431559664	0.395408301	-0.826967965
TCGA-HC-7213-01	-0.248667851	-0.702467699	0.453799849
TCGA-HC-7230-01	-0.38543953	-0.515525325	0.130085795
TCGA-HC-7231-01	-0.345685062	-0.349947952	0.00426289
TCGA-HC-7232-01	-0.428663529	-0.513544622	0.084881092
TCGA-HC-7233-01	0.529046023	-0.503967792	1.033013815
TCGA-HC-7736-01	-0.639255728	-0.404011939	-0.235243789
TCGA-HC-7737-01	-0.491012973	0.424792617	-0.91580559
TCGA-HC-7737-11	0.673500584	-0.629360243	1.302860826
TCGA-HC-7738-01	-0.217614994	-0.712799181	0.495184187
TCGA-HC-7738-11	0.594381945	-0.782715502	1.377097448
TCGA-HC-7740-01	-0.594575158	-0.701271586	0.106696427
TCGA-HC-7740-11	0.634647679	-0.780964562	1.415612241
TCGA-HC-7742-01	0.2692945	-0.609571689	0.878866189
TCGA-HC-7742-11	-0.346681416	-0.773075092	0.426393675
TCGA-HC-7744-01	0.572655985	-0.570869128	1.143525113
TCGA-HC-7745-01	-0.556777167	-0.841589615	0.284812448
TCGA-HC-7745-11	0.52612206	-0.557896026	1.084018086
TCGA-HC-7747-01	-0.494893161	-0.776682383	0.281789222
TCGA-HC-7747-11	0.651835229	-0.761658028	1.413493257
TCGA-HC-7748-01	-0.457664179	-0.450968279	-0.0066959
TCGA-HC-7749-01	0.55028472	-0.531382034	1.081666754
TCGA-HC-7750-01	-0.2565144	-0.891356458	0.634842058
TCGA-HC-7752-01	-0.548771204	-0.774741973	0.225970769
TCGA-HC-7752-11	-0.434331062	-0.813973425	0.379642362
TCGA-HC-7817-01	-0.21858739	-0.629741333	0.411153943
TCGA-HC-7818-01	-0.432489876	-0.684246362	0.251756486
TCGA-HC-7819-01	-0.275684443	0.280758599	-0.556443041
TCGA-HC-7819-11	-0.46382341	-0.758789834	0.294966424
TCGA-HC-7820-01	0.300239179	-0.575653665	0.875892844
TCGA-HC-7821-01	-0.515497015	-0.538850704	0.023353689
TCGA-HC-8213-01	0.519870888	-0.405486498	0.925357386
TCGA-HC-8216-01	0.517148955	-0.724807834	1.241956789
TCGA-HC-8256-01	0.403768183	-0.40628253	0.810050713
TCGA-HC-8257-01	0.547310671	-0.603086155	1.150396826
TCGA-HC-8258-01	-0.434513823	-0.888184722	0.453670899
TCGA-HC-8258-11	0.502820532	-0.743299869	1.246120401
TCGA-HC-8259-01	0.39246508	-0.604216211	0.99668129
TCGA-HC-8259-11	-0.303518498	-0.687913932	0.384395434
TCGA-HC-8260-01	-0.498758133	-0.765835568	0.267077436
TCGA-HC-8260-11	-0.467346907	-0.828545157	0.36119825
TCGA-HC-8261-01	-0.451256826	-0.847376748	0.396119922
TCGA-HC-8262-01	0.390886262	-0.676634107	1.067520369
TCGA-HC-8262-11	-0.442129076	-0.471513401	0.029384325
TCGA-HC-8264-01	-0.466358277	-0.536954259	0.070595981
TCGA-HC-8265-01	-0.525617216	-0.391280387	-0.134336829
TCGA-HC-8266-01	-0.786392661	-0.896772999	0.110380338
TCGA-HC-A48F-01	-0.245595668	-0.667419849	0.421824181
TCGA-HC-A4ZV-01	0.407936616	-0.684771294	1.092707909
TCGA-HC-A631-01	0.375786591	-0.625838868	1.001625459
TCGA-HC-A632-01	-0.366018056	-0.620968219	0.254950163
TCGA-HC-A76W-01	-0.698402568	-0.502507608	-0.195894961
TCGA-HC-A76X-01	0.3012665	-0.645136866	0.946403366
TCGA-HC-A8CY-01	-0.473222212	-0.694146797	0.220924585
TCGA-HC-A8D0-01	0.418403431	-0.714530647	1.132934079
TCGA-HC-A8D1-01	-0.242885059	-0.703880962	0.460995903
TCGA-HC-A9TE-01	-0.313705934	-0.762852403	0.449146469
TCGA-HC-A9TH-01	-0.428770892	-0.58442377	0.155652877
TCGA-HI-7168-01	-0.324201952	-0.704830028	0.380628076
TCGA-HI-7169-01	-0.214041747	-0.825920153	0.611878406
TCGA-HI-7170-01	-0.286716249	-0.727695793	0.440979545
TCGA-HI-7171-01	0.61038537	-0.407568428	1.017953798
TCGA-J4-8198-01	-0.317110667	-0.334149776	0.01703911
TCGA-J4-8200-01	0.511869132	-0.522442451	1.034311583
TCGA-J4-A67T-01	-0.467163379	-0.669385707	0.202222329
TCGA-J4-A6G1-01	-0.483969618	-0.719081389	0.235111771
TCGA-J4-A6G3-01	-0.54130085	-0.760739479	0.219438628
TCGA-J4-A83I-01	-0.483615072	-0.723561882	0.23994681
TCGA-J4-A83J-01	-0.457376969	-0.706241896	0.248864927
TCGA-J4-A83J-11	-0.659484619	-0.899039283	0.239554664
TCGA-J4-A83K-01	-0.326208122	-0.66162513	0.335417009
TCGA-J4-A83L-01	-0.374250725	-0.683247083	0.308996358
TCGA-J4-A83M-01	-0.43982232	-0.661647793	0.221825473
TCGA-J4-A83N-01	0.505666519	-0.767868291	1.27353481
TCGA-J4-AATV-01	-0.454658805	-0.831571109	0.376912304
TCGA-J4-AATZ-01	-0.531386228	-0.894194565	0.362808337
TCGA-J4-AAU2-01	-0.463053279	-0.709815688	0.246762409
TCGA-J9-A52B-01	-0.278376753	-0.634105971	0.355729218
TCGA-J9-A52C-01	-0.414957389	-0.643071459	0.22811407
TCGA-J9-A52D-01	0.573601384	-0.498060496	1.07166188
TCGA-J9-A52E-01	0.319887238	-0.414371536	0.734258774
TCGA-J9-A8CK-01	-0.479322228	-0.639249222	0.159926994
TCGA-J9-A8CL-01	-0.608583061	-0.632661809	0.024078748
TCGA-J9-A8CM-01	0.210816439	-0.789608584	1.000425023
TCGA-J9-A8CN-01	0.343314931	-0.724879064	1.068193996
TCGA-J9-A8CP-01	0.392876145	-0.710979119	1.103855265
TCGA-KC-A4BL-01	-0.721053138	-0.568439369	-0.152613769
TCGA-KC-A4BN-01	-0.392302104	-0.32376374	-0.068538364
TCGA-KC-A4BR-01	-0.576374788	-0.422873873	-0.153500915
TCGA-KC-A4BV-01	-0.350604539	-0.619461858	0.26885732
TCGA-KC-A7F3-01	0.324613346	-0.724235483	1.048848829
TCGA-KC-A7F5-01	0.28667201	-0.831624051	1.11829606
TCGA-KC-A7F6-01	-0.274698352	-0.702345233	0.427646881
TCGA-KC-A7FA-01	0.189257059	-0.734357077	0.923614136
TCGA-KC-A7FD-01	0.358497748	-0.68476935	1.043267098
TCGA-KC-A7FE-01	-0.415721747	-0.685505264	0.269783517
TCGA-KK-A59V-01	0.396829787	-0.5445672	0.941396986
TCGA-KK-A59X-01	-0.394699384	-0.644479824	0.249780439
TCGA-KK-A59Y-01	0.365369892	-0.469212597	0.834582489
TCGA-KK-A59Z-01	-0.695496661	-0.728614292	0.033117631
TCGA-KK-A5A1-01	-0.242910516	-0.662793535	0.419883019
TCGA-KK-A6DY-01	-0.398341106	-0.608941658	0.210600552
TCGA-KK-A6E0-01	0.440309163	-0.631648091	1.071957254
TCGA-KK-A6E1-01	-0.413156832	0.306118284	-0.719275116
TCGA-KK-A6E2-01	0.332949424	0.37205315	-0.039103726
TCGA-KK-A6E5-01	0.279309699	-0.636087804	0.915397502
TCGA-KK-A6E6-01	0.294972519	-0.727868468	1.022840987
TCGA-KK-A7AP-01	-0.389054755	-0.447614965	0.058560211
TCGA-KK-A7AQ-01	-0.516653817	-0.831936001	0.315282185
TCGA-KK-A7AU-01	0.314238035	-0.668085638	0.982323673
TCGA-KK-A7AV-01	-0.527737846	-0.780846243	0.253108397
TCGA-KK-A7AW-01	-0.281767484	-0.742052427	0.460284942
TCGA-KK-A7AY-01	0.562698118	-0.628490206	1.191188324
TCGA-KK-A7AZ-01	0.306604457	-0.59310673	0.899711187
TCGA-KK-A7B0-01	-0.302252361	-0.771338063	0.469085703
TCGA-KK-A7B1-01	-0.434288708	-0.728430592	0.294141884
TCGA-KK-A7B2-01	-0.425048697	-0.710305554	0.285256857
TCGA-KK-A7B3-01	-0.617393197	-0.858313318	0.240920121
TCGA-KK-A7B4-01	-0.251791511	-0.63174331	0.379951799
TCGA-KK-A8I4-01	-0.711485261	-0.748416145	0.036930884
TCGA-KK-A8I5-01	-0.309980672	0.405608965	-0.715589637
TCGA-KK-A8I6-01	-0.369871336	-0.616618701	0.246747365
TCGA-KK-A8I7-01	-0.417770651	-0.642323622	0.224552971
TCGA-KK-A8I8-01	0.348546834	-0.604065887	0.952612721
TCGA-KK-A8I9-01	-0.671639693	-0.796277019	0.124637326
TCGA-KK-A8IA-01	0.499305328	-0.620709511	1.120014839
TCGA-KK-A8IB-01	-0.336671004	-0.646049378	0.309378374
TCGA-KK-A8IC-01	-0.359373532	-0.263119221	-0.096254311
TCGA-KK-A8ID-01	-0.397908173	-0.625443852	0.227535679
TCGA-KK-A8IF-01	-0.26017086	-0.746345501	0.48617464
TCGA-KK-A8IG-01	-0.405253108	-0.680056335	0.274803227
TCGA-KK-A8IH-01	-0.385519087	-0.573053035	0.187533948
TCGA-KK-A8II-01	0.342975461	0.374770248	-0.031794788
TCGA-KK-A8IJ-01	-0.311364698	-0.490876288	0.17951159
TCGA-KK-A8IK-01	-0.28805791	-0.722490968	0.434433058
TCGA-KK-A8IL-01	-0.577728801	-0.397820502	-0.179908299
TCGA-KK-A8IM-01	-0.25823983	-0.730180921	0.47194109
TCGA-M7-A71Y-01	-0.219500143	-0.75733268	0.537832537
TCGA-M7-A71Z-01	0.520377966	-0.753763296	1.274141262
TCGA-M7-A720-01	-0.359914369	-0.923616035	0.563701667
TCGA-M7-A721-01	-0.443610912	-0.693466414	0.249855501
TCGA-M7-A722-01	0.349267094	-0.759849863	1.109116956
TCGA-M7-A723-01	0.282866786	-0.783187691	1.066054477
TCGA-M7-A724-01	0.444930371	-0.590923979	1.03585435
TCGA-M7-A725-01	0.383831679	-0.548168155	0.931999834
TCGA-MG-AAMC-01	0.380526883	-0.604702617	0.9852295
TCGA-SU-A7E7-01	-0.557083768	-0.576759723	0.019675955
TCGA-TK-A8OK-01	-0.476243352	0.401261405	-0.877504757
TCGA-TP-A8TT-01	-0.446076731	-0.598535821	0.15245909
TCGA-TP-A8TV-01	-0.357260979	-0.670400174	0.313139195
TCGA-V1-A8MF-01	0.294188097	-0.7195431	1.013731197
TCGA-V1-A8MG-01	-0.533257337	-0.688077889	0.154820552
TCGA-V1-A8MJ-01	-0.27108364	-0.905184999	0.634101359
TCGA-V1-A8MK-01	-0.332321489	-0.742330537	0.410009048
TCGA-V1-A8ML-01	0.274820849	-0.629293981	0.90411483
TCGA-V1-A8MM-01	-0.580828044	-0.729349091	0.148521047
TCGA-V1-A8MU-01	-0.4102119	-0.676255148	0.266043248
TCGA-V1-A8WL-01	0.25810008	-0.769885494	1.027985573
TCGA-V1-A8WN-01	-0.530834185	-0.404926076	-0.125908109
TCGA-V1-A8WS-01	0.470745965	-0.601735628	1.072481593
TCGA-V1-A8WV-01	-0.523170753	-0.738350377	0.215179623
TCGA-V1-A8WW-01	-0.451763713	-0.624273238	0.172509524
TCGA-V1-A8X3-01	-0.402056166	-0.7031086	0.301052434
TCGA-V1-A9O5-01	-0.613637127	-0.508451759	-0.105185368
TCGA-V1-A9O5-06	-0.512408821	-0.584526581	0.072117761
TCGA-V1-A9O7-01	-0.295285137	-0.619074862	0.323789725
TCGA-V1-A9O9-01	-0.401266866	-0.474861725	0.073594859
TCGA-V1-A9OA-01	-0.515291709	-0.719857939	0.20456623
TCGA-V1-A9OF-01	-0.302268314	-0.722368502	0.420100188
TCGA-V1-A9OH-01	0.244448057	-0.738724728	0.983172785
TCGA-V1-A9OL-01	0.19201323	-0.609221397	0.801234627
TCGA-V1-A9OQ-01	0.34739066	-0.741412038	1.088802698
TCGA-V1-A9OT-01	-0.551752555	-0.919477929	0.367725375
TCGA-V1-A9OX-01	-0.41790436	-0.857877656	0.439973296
TCGA-V1-A9OY-01	-0.315968768	-0.705529361	0.389560594
TCGA-V1-A9Z7-01	0.277647213	-0.772232932	1.049880145
TCGA-V1-A9Z8-01	0.282425299	-0.723316619	1.005741918
TCGA-V1-A9Z9-01	-0.42000558	-0.755311983	0.335306403
TCGA-V1-A9ZG-01	-0.541138183	-0.562855918	0.021717735
TCGA-V1-A9ZI-01	-0.262443577	-0.778090748	0.51564717
TCGA-V1-A9ZK-01	-0.48297978	-0.831995652	0.349015872
TCGA-V1-A9ZR-01	-0.457718628	-0.809464019	0.351745392
TCGA-VN-A88I-01	-0.688644301	-0.608168514	-0.080475787
TCGA-VN-A88K-01	-0.38414154	-0.620537628	0.236396088
TCGA-VN-A88L-01	-0.552027556	-0.701181801	0.149154246
TCGA-VN-A88M-01	-0.41839453	-0.7747288	0.35633427
TCGA-VN-A88N-01	0.31978407	-0.640956092	0.960740162
TCGA-VN-A88O-01	-0.339412569	-0.774548917	0.435136347
TCGA-VN-A88P-01	0.490228356	-0.629212785	1.119441142
TCGA-VN-A88Q-01	-0.436585104	-0.604422861	0.167837757
TCGA-VN-A88R-01	0.483332083	-0.763823403	1.247155486
TCGA-VN-A943-01	0.343541373	-0.728515272	1.072056645
TCGA-VP-A872-01	-0.678597361	-0.565257888	-0.113339473
TCGA-VP-A875-01	0.317878361	-0.664809258	0.982687619
TCGA-VP-A876-01	0.399436344	-0.679627702	1.079064045
TCGA-VP-A878-01	-0.65086931	-0.80825961	0.1573903
TCGA-VP-A879-01	-0.471822484	-0.634944843	0.16312236
TCGA-VP-A87B-01	-0.623491825	-0.593227604	-0.030264222
TCGA-VP-A87C-01	-0.617608209	-0.469243212	-0.148364997
TCGA-VP-A87D-01	-0.345466125	-0.753963855	0.40849773
TCGA-VP-A87E-01	-0.561905833	-0.572054653	0.01014882
TCGA-VP-A87H-01	-0.603893581	-0.701899085	0.098005504
TCGA-VP-A87J-01	0.364232862	0.443689363	-0.079456501
TCGA-VP-A87K-01	0.275455156	-0.475529599	0.750984756
TCGA-VP-AA1N-01	-0.288091002	-0.696283142	0.40819214
TCGA-WW-A8ZI-01	-0.329112158	-0.71459188	0.385479723
TCGA-X4-A8KQ-01	-0.45459555	-0.637315535	0.182719985
TCGA-X4-A8KS-01	-0.445648652	-0.758028451	0.312379799
TCGA-XA-A8JR-01	0.370706864	-0.628069316	0.99877618
TCGA-XJ-A83F-01	0.354430909	-0.649868349	1.004299257
TCGA-XJ-A83G-01	-0.2643474	-0.763456004	0.499108604
TCGA-XJ-A83H-01	-0.368561011	-0.483097715	0.114536704
TCGA-XJ-A9DI-01	-0.57993087	-0.667893625	0.087962756
TCGA-XJ-A9DK-01	-0.473760098	-0.714485312	0.240725214
TCGA-XJ-A9DQ-01	-0.296906427	-0.831547364	0.534640937
TCGA-XJ-A9DX-01	-0.409291225	-0.806894896	0.397603671
TCGA-XK-AAIR-01	-0.307060773	-0.80193068	0.494869907
TCGA-XK-AAIV-01	-0.48237153	-0.53162705	0.049255519
TCGA-XK-AAIW-01	0.643648906	-0.412784134	1.05643304
TCGA-XK-AAJ3-01	-0.251424646	-0.660155532	0.408730886
TCGA-XK-AAJA-01	-0.471133042	-0.623379525	0.152246483
TCGA-XK-AAJP-01	0.240318064	-0.663723695	0.904041759
TCGA-XK-AAJR-01	-0.475509369	-0.828271066	0.352761697
TCGA-XK-AAJT-01	-0.636385048	-0.63192701	-0.004458038
TCGA-XK-AAJU-01	-0.428889124	-0.924217557	0.495328433
TCGA-XK-AAK1-01	0.390203314	-0.756295374	1.146498688
TCGA-XQ-A8TA-01	-0.213388865	0.586553181	-0.799942046
TCGA-XQ-A8TB-01	-0.383781466	-0.422264405	0.038482939
TCGA-Y6-A8TL-01	-0.394799185	-0.64460229	0.249803106
TCGA-Y6-A9XI-01	-0.34703951	-0.68991963	0.34288012
TCGA-YJ-A8SW-01	-0.218349972	0.319392566	-0.537742539
TCGA-YL-A8HJ-01	-0.634388936	-0.555691629	-0.078697306
TCGA-YL-A8HK-01	-0.627916947	-0.463103468	-0.164813479
TCGA-YL-A8HL-01	0.24831967	-0.782750031	1.031069702
TCGA-YL-A8HM-01	0.649624708	-0.694078746	1.343703454
TCGA-YL-A8HO-01	-0.626647283	-0.68489376	0.058246477
TCGA-YL-A8S8-01	-0.413553678	0.408976793	-0.82253047
TCGA-YL-A8S9-01	0.356380932	-0.646007724	1.002388656
TCGA-YL-A8SA-01	0.338695235	-0.669132493	1.007827729
TCGA-YL-A8SB-01	-0.466285154	-0.672953279	0.206668125
TCGA-YL-A8SC-01	-0.263655224	-0.341733562	0.078078338
TCGA-YL-A8SF-01	-0.276642406	-0.647174086	0.37053168
TCGA-YL-A8SH-01	-0.456521342	-0.739575041	0.283053699
TCGA-YL-A8SI-01	-0.450072083	-0.798665115	0.348593032
TCGA-YL-A8SJ-01	0.388679022	-0.624999915	1.013678937
TCGA-YL-A8SK-01	-0.493825163	-0.817286012	0.323460848
TCGA-YL-A8SL-01	0.238584608	-0.631381239	0.869965848
TCGA-YL-A8SO-01	-0.523027523	-0.606967925	0.083940403
TCGA-YL-A8SP-01	0.380798276	-0.577405556	0.958203832
TCGA-YL-A8SQ-01	-0.583518153	-0.757210214	0.173692061
TCGA-YL-A8SR-01	0.228746477	-0.752946823	0.981693299
TCGA-YL-A9WH-01	-0.297523362	-0.502315517	0.204792154
TCGA-YL-A9WI-01	0.330525944	0.382095401	-0.051569457
TCGA-YL-A9WJ-01	-0.538868509	-0.602115898	0.063247389
TCGA-YL-A9WK-01	-0.510395353	-0.610617843	0.100222491
TCGA-YL-A9WL-01	0.391958732	-0.709570755	1.101529487
TCGA-YL-A9WX-01	-0.651213548	-0.597999359	-0.053214189
TCGA-YL-A9WY-01	-0.341891596	-0.674672772	0.332781175
TCGA-ZG-A8QW-01	-0.355546028	-0.461683874	0.106137846
TCGA-ZG-A8QX-01	0.573187216	-0.68864374	1.261830956
TCGA-ZG-A8QY-01	0.227008883	-0.667564754	0.894573637
TCGA-ZG-A8QZ-01	0.228308363	-0.815762818	1.04407118
TCGA-ZG-A9KY-01	-0.437860129	-0.615189326	0.177329197
TCGA-ZG-A9L0-01	-0.421450556	-0.695915743	0.274465187
TCGA-ZG-A9L1-01	-0.638753102	-0.713012339	0.074259237
TCGA-ZG-A9L2-01	-0.328988339	-0.533201269	0.20421293
TCGA-ZG-A9L4-01	-0.351866784	-0.465740004	0.11387322
TCGA-ZG-A9L5-01	0.354550256	-0.592737738	0.947287994
TCGA-ZG-A9L6-01	-0.420704819	-0.68134142	0.260636602
TCGA-ZG-A9L9-01	0.183568885	-0.666205211	0.849774096
TCGA-ZG-A9LB-01	0.596317085	-0.73523463	1.331551715
TCGA-ZG-A9LM-01	0.47372702	-0.724416317	1.198143337
TCGA-ZG-A9LN-01	-0.331960832	-0.589084428	0.257123596
TCGA-ZG-A9LS-01	-0.323325354	-0.748270161	0.424944807
TCGA-ZG-A9LU-01	-0.431236427	-0.727557948	0.296321521
TCGA-ZG-A9LY-01	0.353494159	-0.761354126	1.114848285
TCGA-ZG-A9LZ-01	0.740944108	-0.675892474	1.416836583
TCGA-ZG-A9M4-01	0.345844839	-0.415955675	0.761800515
TCGA-ZG-A9MC-01	-0.713020507	-0.530139676	-0.182880831
TCGA-ZG-A9N3-01	0.389470201	-0.625484857	1.014955058
TCGA-ZG-A9ND-01	-0.489844001	-0.892336243	0.402492243
TCGA-ZG-A9NI-01	-0.709197816	-0.607494948	-0.101702868
TCGA-2K-A9WE-01	0.640812086	0.289254876	0.35155721
TCGA-2Z-A9J1-01	0.569490836	-0.492265939	1.061756774
TCGA-2Z-A9J2-01	0.656950178	-0.344306537	1.001256716
TCGA-2Z-A9J3-01	0.571759676	0.407626156	0.16413352
TCGA-2Z-A9J5-01	0.745138123	-0.491562557	1.236700679
TCGA-2Z-A9J6-01	0.583372366	0.303212019	0.280160347
TCGA-2Z-A9J7-01	0.622953023	0.460492972	0.16246005
TCGA-2Z-A9J8-01	0.669242746	-0.423612238	1.092854984
TCGA-2Z-A9J9-01	0.621316838	-0.29165391	0.912970747
TCGA-2Z-A9JD-01	0.794417873	0.457330289	0.337087584
TCGA-2Z-A9JE-01	0.735486275	0.278938055	0.45654822
TCGA-2Z-A9JG-01	0.671600555	-0.425813146	1.097413701
TCGA-2Z-A9JI-01	-0.453822972	0.473998458	-0.927821429
TCGA-2Z-A9JJ-01	-0.303315965	0.696766684	-1.000082649
TCGA-2Z-A9JK-01	0.460432088	0.60492571	-0.144493622
TCGA-2Z-A9JL-01	0.56321763	0.405061897	0.158155733
TCGA-2Z-A9JM-01	0.708989853	-0.595960439	1.304950292
TCGA-2Z-A9JN-01	0.816959031	0.438770318	0.378188713
TCGA-2Z-A9JO-01	0.911868431	-0.447300849	1.35916928
TCGA-2Z-A9JP-01	0.714089334	-0.358132643	1.072221977
TCGA-2Z-A9JQ-01	0.62347491	-0.584777417	1.208252327
TCGA-2Z-A9JR-01	0.634229125	0.35571769	0.278511435
TCGA-2Z-A9JS-01	0.668161078	0.821613871	-0.153452792
TCGA-2Z-A9JT-01	0.62753657	-0.589698325	1.217234895
TCGA-4A-A93W-01	0.652944759	0.471916118	0.18102864
TCGA-4A-A93X-01	0.742451155	0.463353839	0.279097315
TCGA-4A-A93Y-01	0.512038103	0.40889751	0.103140592
TCGA-5P-A9JU-01	0.653888332	0.500975409	0.152912924
TCGA-5P-A9JV-01	0.52310528	0.515439132	0.007666148
TCGA-5P-A9JW-01	0.705430544	-0.425701613	1.131132157
TCGA-5P-A9JY-01	0.596394286	-0.407243738	1.003638024
TCGA-5P-A9JZ-01	0.697029314	0.589004285	0.108025029
TCGA-5P-A9K0-01	0.679263666	0.544957202	0.134306464
TCGA-5P-A9K2-01	0.375077468	-0.456907451	0.831984918
TCGA-5P-A9K3-01	0.642774261	0.395445238	0.247329024
TCGA-5P-A9K4-01	0.560459741	0.569032015	-0.008572275
TCGA-5P-A9K6-01	0.729454518	-0.534541016	1.263995534
TCGA-5P-A9K8-01	0.879340969	-0.489103515	1.368444484
TCGA-5P-A9K9-01	0.426017878	0.643584135	-0.217566257
TCGA-5P-A9KA-01	0.318884589	0.634526943	-0.315642354
TCGA-5P-A9KC-01	0.668558671	0.81440432	-0.145845649
TCGA-5P-A9KE-01	0.772038965	0.473955015	0.29808395
TCGA-5P-A9KF-01	0.450377728	-0.491285557	0.941663285
TCGA-5P-A9KH-01	0.775427785	0.429920145	0.34550764
TCGA-A4-7286-01	0.52283225	0.475401646	0.047430604
TCGA-A4-7287-01	-0.380854891	-0.700962602	0.320107711
TCGA-A4-7288-01	0.477854636	0.774938026	-0.29708339
TCGA-A4-7583-01	0.544348283	0.476268611	0.068079672
TCGA-A4-7584-01	0.587151168	-0.439492132	1.026643299
TCGA-A4-7585-01	0.737589103	0.692686972	0.044902132
TCGA-A4-7732-01	0.540917381	0.354193062	0.18672432
TCGA-A4-7734-01	-0.315329123	0.71208121	-1.027410333
TCGA-A4-7828-01	-0.410564192	0.688831796	-1.099395988
TCGA-A4-7915-01	0.247399179	0.510222609	-0.26282343
TCGA-A4-7996-01	0.631951779	0.523708082	0.108243698
TCGA-A4-7997-01	0.443337259	0.633781923	-0.190444664
TCGA-A4-8098-01	0.65878311	-0.647645705	1.306428815
TCGA-A4-8310-01	0.6151653	0.400519371	0.214645928
TCGA-A4-8311-01	0.440271689	0.565315311	-0.125043621
TCGA-A4-8312-01	0.841979543	0.443163156	0.398816387
TCGA-A4-8515-01	0.572829253	-0.383232699	0.956061952
TCGA-A4-8516-01	0.76742411	0.321466879	0.445957231
TCGA-A4-8517-01	0.599004113	0.525588012	0.073416102
TCGA-A4-8518-01	0.701938805	0.476977929	0.224960876
TCGA-A4-8630-01	0.635405334	0.48339002	0.152015313
TCGA-A4-A48D-01	0.567595926	-0.463581633	1.031177559
TCGA-A4-A4ZT-01	0.729034271	0.725673634	0.003360637
TCGA-A4-A4ZT-11	0.743247382	-0.469362346	1.212609728
TCGA-A4-A57E-01	0.638866602	-0.548334721	1.187201322
TCGA-A4-A57E-11	0.811644922	-0.433090935	1.244735858
TCGA-A4-A5DU-01	0.501008759	0.558398851	-0.057390092
TCGA-A4-A5XZ-01	0.703220788	0.540462556	0.162758232
TCGA-A4-A5Y0-01	0.868588314	0.422890693	0.445697621
TCGA-A4-A5Y1-01	0.269662494	0.647166249	-0.377503755
TCGA-A4-A6HP-01	0.50435041	-0.715516629	1.219867039
TCGA-A4-A772-01	0.644278683	0.334459525	0.309819158
TCGA-A4-A7UZ-01	-0.37650331	0.467556357	-0.844059667
TCGA-AL-3466-01	0.344892409	0.494267405	-0.149374997
TCGA-AL-3467-01	-0.238071905	0.607545649	-0.845617554
TCGA-AL-3468-01	0.599048389	0.635987071	-0.036938682
TCGA-AL-3471-01	0.52943832	0.516443719	0.012994601
TCGA-AL-3472-01	0.522708117	-0.526949063	1.04965718
TCGA-AL-3473-01	0.561251916	0.425155536	0.13609638
TCGA-AL-7173-01	0.395112212	-0.443066082	0.838178294
TCGA-AL-A5DJ-01	-0.43132314	0.392417352	-0.823740492
TCGA-AT-A5NU-01	0.697028103	0.439664028	0.257364075
TCGA-B1-5398-01	0.424902896	0.487775637	-0.062872741
TCGA-B1-7332-01	0.529319532	-0.482023766	1.011343297
TCGA-B1-A47M-01	0.477872601	-0.531800038	1.009672639
TCGA-B1-A47N-01	0.332152549	-0.454464883	0.786617432
TCGA-B1-A47O-01	0.615920742	0.473337141	0.142583601
TCGA-B1-A654-01	0.325264893	-0.408746001	0.734010895
TCGA-B1-A655-01	0.753642382	0.430087793	0.323554588
TCGA-B1-A656-01	0.509889202	0.335247825	0.174641377
TCGA-B1-A657-01	0.706065133	0.428442634	0.277622499
TCGA-B3-3925-01	0.4426527	0.488239079	-0.04558638
TCGA-B3-3926-01	0.405569855	0.64484597	-0.239276114
TCGA-B3-4103-01	0.47202295	0.386696721	0.085326229
TCGA-B3-4104-01	-0.364538201	-0.516157139	0.151618938
TCGA-B3-8121-01	0.373745824	0.646352547	-0.272606723
TCGA-B3-A6W5-01	0.694836808	0.579021672	0.115815136
TCGA-B9-4113-01	0.486373403	0.502895036	-0.016521633
TCGA-B9-4114-01	0.758420578	-0.57247407	1.330894649
TCGA-B9-4115-01	0.769672803	-0.435947854	1.205620657
TCGA-B9-4115-11	0.788112396	0.399869463	0.388242933
TCGA-B9-4116-01	-0.312182275	0.616999341	-0.929181615
TCGA-B9-4117-01	0.36095797	0.626949848	-0.265991877
TCGA-B9-4617-01	0.647596198	-0.534652625	1.182248823
