sample	FDX1	LIAS	LIPT1	DLD	DLAT	PDHA1	PDHB	MTF1	GLS	CDKN2A
TCGA-PK-A5HA-01	0.12838155	0.04459044	0.071429955	0.2583819	0.1857564	0.04916912	0.044751211	0.0360965	0.0989323	0.25569105
TCGA-PK-A5HB-01	0.201690633	0.044571927	0.034881455	0.260420525	0.1247649	0.04636176	0.113116311	0.032364086	0.128096563	0.2608532
TCGA-2F-A9KO-01	0.106231433	0.045960187	0.081598791	0.20799125	0.079339975	0.05623134	0.05186051	0.030947986	0.121674925	0.21813325
TCGA-2F-A9KP-01	0.10154255	0.044108887	0.0783471	0.1448841	0.04958105	0.048386	0.046350767	0.031422543	0.124414463	0.07568625
TCGA-2F-A9KQ-01	0.095358617	0.040634087	0.088580755	0.145839175	0.074402075	0.04707718	0.044389911	0.028976814	0.119805613	0.095751275
TCGA-2F-A9KR-01	0.123385167	0.038039547	0.038389691	0.211374775	0.091914525	0.4151792	0.047304367	0.024104857	0.117962388	0.275868325
TCGA-2F-A9KT-01	0.096743183	0.039469778	0.072280145	0.158099275	0.0698968	0.049333	0.047365456	0.025631014	0.125906125	0.09802865
TCGA-2F-A9KW-01	0.08334445	0.04478294	0.042125927	0.223424525	0.07176145	0.2715034	0.049676356	0.028416686	0.101890663	0.175169675
TCGA-4Z-AA7M-01	0.07348255	0.042891493	0.036037664	0.159951675	0.064028275	0.04647298	0.041276367	0.032357271	0.0964048	0.08959175
TCGA-4Z-AA7N-01	0.077406817	0.044867247	0.068413918	0.2235713	0.054401025	0.04364132	0.058491633	0.032749943	0.09889255	0.1245422
TCGA-4Z-AA7O-01	0.097983933	0.041149713	0.029634836	0.2387365	0.08204235	0.04136936	0.042221789	0.027813671	0.110520563	0.193044925
TCGA-4Z-AA7Q-01	0.077866083	0.03881976	0.065221045	0.231621825	0.066909025	0.04415668	0.051081622	0.029768871	0.097915475	0.10239575
TCGA-4Z-AA7R-01	0.097264033	0.038855753	0.027632155	0.191035975	0.046411925	0.0451393	0.037671844	0.029669757	0.126497	0.0438667
TCGA-4Z-AA7S-01	0.122646783	0.04988052	0.034218236	0.23769665	0.071535225	0.0471731	0.051337711	0.031142886	0.103221313	0.267676575
TCGA-4Z-AA7W-01	0.098934567	0.038995167	0.061124918	0.1767231	0.061658625	0.04855898	0.058763844	0.026416371	0.102298775	0.194069625
TCGA-4Z-AA7Y-01	0.077849683	0.040275273	0.031354291	0.098101925	0.075911675	0.05588492	0.038383378	0.031548914	0.106639163	0.168415825
TCGA-4Z-AA80-01	0.0813807	0.046807933	0.053373676	0.19989635	0.0540685	0.2664274	0.056168311	0.031589186	0.113015725	0.243629975
TCGA-4Z-AA81-01	0.0839205	0.041347967	0.031454318	0.239867875	0.061871475	0.04238706	0.049259789	0.033116814	0.107645738	0.079844725
TCGA-4Z-AA82-01	0.153065933	0.039800753	0.030934973	0.225392375	0.05107305	0.05018492	0.045558789	0.029228886	0.112511838	0.185619
