ADIPOGENESIS	ALLOGRAFT_REJECTION	ANDROGEN_RESPONSE	ANGIOGENESIS	APICAL_JUNCTION	APICAL_SURFACE	APOPTOSIS	BILE_ACID_METABOLISM	CHOLESTEROL_HOMEOSTASIS	COAGULATION	COMPLEMENT	DNA_REPAIR	E2F_TARGETS	EPITHELIAL_MESENCHYMAL_TRANSITION	ESTROGEN_RESPONSE_EARLY	ESTROGEN_RESPONSE_LATE	FATTY_ACID_METABOLISM	G2M_CHECKPOINT	GLYCOLYSIS	HEDGEHOG_SIGNALING	HEME_METABOLISM	HYPOXIA	IL2_STAT5_SIGNALING	IL6_JAK_STAT3_SIGNALING	INFLAMMATORY_RESPONSE	INTERFERON_ALPHA_RESPONSE	INTERFERON_GAMMA_RESPONSE	KRAS_SIGNALING_DN	KRAS_SIGNALING_UP	MITOTIC_SPINDLE	MTORC1_SIGNALING	MYC_TARGETS_V1	MYC_TARGETS_V2	MYOGENESIS	NOTCH_SIGNALING	OXIDATIVE_PHOSPHORYLATION	P53_PATHWAY	PANCREAS_BETA_CELLS	PEROXISOME	PI3K_AKT_MTOR_SIGNALING	PROTEIN_SECRETION	REACTIVE_OXYGEN_SPECIES_PATHWAY	SPERMATOGENESIS	TGF_BETA_SIGNALING	TNFA_SIGNALING_VIA_NFKB	UNFOLDED_PROTEIN_RESPONSE	UV_RESPONSE_DN	UV_RESPONSE_UP	WNT_BETA_CATENIN_SIGNALING	XENOBIOTIC_METABOLISM	Cuproptosis Positive	Cuproptosis negative
DECR1	C2	ELOVL5	NRP1	VASP	AKAP7	DDIT3	CYP7A1	HMGCR	CFB	TIMP1	GTF2B	NAA38	TAGLN	RET	IL17RB	HSD17B11	CENPF	PMM2	NF1	HBQ1	PFKFB3	ADAM19	MYD88	CCRL2	USP18	XAF1	CAMK1D	INHBA	PAFAH1B1	FADS2	U2AF1	NIP7	HRC	PPARD	ATP5F1C	PIDD1	AKT3	PEX2	PDK1	OCRL	MBP	CSNK2A2	MAP3K7	JUN	DNAJC3	CAP2	RASGRP1	NCOR2	GSS		
CDKN2C	HLA-A	ALDH1A3	OLR1	ITGB1	ATP8B1	CDKN1B	HACL1	HSD17B7	BMP1	DPP4	POLR1D	NASP	COL7A1	TPBG	NRIP1	IDH1	RACGAP1	FAM162A	RASA1	DCAF11	VEGFA	SLC2A3	ACVR1B	AQP9	PSMB8	SP110	AMBN	TFPI	CDC42EP2	VLDLR	UBE2L3	WDR74	TNNT1	KAT2A	ATP5F1B	SAT1	GCG	ACAA1	PIKFYVE	ICA1	SRXN1	NAA11	BMPR1A	EGR3	EXOSC2	PRDM2	TMBIM6	DKK4	FMO3		
TALDO1	ITGB2	AZGP1	PDGFA	ZYX	EFNA5	TNF	PIPOX	ANXA13	VWF	KLK1	NCBP2	NUDT21	LOXL2	TFF1	ASS1	ME1	CENPE	SDC1	ETS2	ERMAP	BNIP3L	HIPK2	CSF3R	EREG	IFIH1	OASL	LFNG	TSPAN1	KIF3B	WARS1	SSBP1	BYSL	DES	HEYL	COX7B	CDKN2A	DPP4	HAO2	TBK1	MON2	NQO1	TULP2	CTNNB1	IL1B	NOP14	TOGARAM1	FOS	HDAC2	IDH1		
TST	HLA-DQA1	ABHD2	PTK2	ACTN4	SLC34A3	GSN	PEX6	SREBF2	FGA	KLKB1	NELFE	NUP205	COL6A2	MAPT	TFF3	MGLL	KIF23	EGLN3	RTN1	EIF2AK1	TPI1	BATF3	ITGB3	C3AR1	BST2	PSMB8	SERPINA10	ADAM8	CCDC88A	SCD	SRSF1	HSPD1	MYOZ1	SKP1	SDHD	AEN	PAX4	HSD17B11	ACTR3	ARFGEF2	OXSR1	ADAD1	HIPK2	BCL2A1	ATF6	SDC2	TAP1	DKK1	AKR1C3		
MCCC1	CD1D	SAT1	SLCO2A1	CLDN4	APP	TNFSF10	SOD1	PCYT2	F11	CD59	GTF2F1	ORC6	ITGAV	SCNN1A	FKBP4	MLYCD	UBE2C	PC	CRMP1	CPOX	ERO1A	BHLHE40	REG1A	GNA15	LGALS3BP	IFI44L	ALOX12B	SLPI	KIF15	P4HA1	TCP1	PLK4	RYR1	RBX1	CYCS	PPM1D	SYT13	CRAT	E2F1	TMED2	GLRX2	SYCP1	KLF10	PPP1R15A	HYOU1	SMAD3	E2F5	TCF7	SLC22A1		
PGM1	CD80	DBI	PGLYRP1	CADM3	GSTM3	CASP6	GNPAT	ACSS2	THBD	CR2	ERCC5	PCNA	THBS2	ABAT	SLC27A2	PCBD1	MCM6	B4GALT7	MYH9	MPP1	KDM3A	PTGER2	CXCL1	CMKLR1	ADAR	IFITM3	CALCB	PRKG2	BIRC5	ACTR2	MCM2	NOP2	CSRP3	TCF7L2	NDUFA6	FOXO3	SCGN	PEX11B	MYD88	NAPG	HMOX2	DDX4	BMP2	ZC3H12A	RRP9	SLC7A1	RAB27A	WNT1	GSTO1		
REEP5	HLA-DRA	DHCR24	VAV2	ITGA3	HSPB1	SQSTM1	HSD3B1	ATF3	FURIN	MMP15	LIG1	PLK4	COL16A1	FLNB	SEMA3B	RETSAT	MCM3	FBP2	VEGFA	GLRX5	CCNG2	DENND5A	A2M	PTGER4	ISG20	DDX60	FGGY	MMP11	CNTROB	IDH1	EIF3B	PPAN	ADAM12	ARRB1	NDUFAB1	BTG1	HNF1A	LONP2	ITPR2	TMX1	FES	MLF1	ENG	SOD2	NOP56	GCNT1	CCND3	NUMB	ARG1		
BCL2L13	THY1	SORD	S100A4	NF2	SLC2A4	FASLG	ABCA2	ADH4	MMP11	LAP3	ERCC1	POLE	NNMT	XBP1	GPER1	S100A10	PTTG1	IGFBP3	CELSR1	TSPAN5	LDHA	ITIH5	CSF2RA	LIF	GBP2	LGALS3BP	SPRR3	MMP10	NF1	SLC2A1	PSMD14	NOP56	ATP2A1	LFNG	COX8A	TXNIP	STXBP1	IDH1	SQSTM1	PAM	PFKP	TEKT2	APC	NR4A2	CXXC1	RUNX1	SLC25A4	ADAM17	CDO1		
SLC25A10	TLR1	STK39	MSX1	B4GALT1	IL2RB	EGR3	HAO1	ETHE1	F8	SPOCK2	ERCC4	PRIM2	TPM1	CELSR2	LLGL2	SUCLG1	CDK1	CHPF	CNTFR	OSBP2	GYS1	PHTF2	IL15RA	IL15	IRF1	GBP4	ATP6V1B1	TMEM158	TSC1	GBE1	SNRPA	RCL1	CKM	PRKCA	ACO2	SLC19A2	CHGA	FIS1	RPS6KA1	SCAMP1	NDUFB4	SPATA6	PPM1A	IL1A	IGFBP1	RND3	SPR	DVL2	FMO1		
ME1	HLA-G	TPD52	VTN	NEXN	RTN4RL1	CD44	PEX16	ECH1	LGMN	F10	POLD4	RAD51AP1	CDH2	RAB31	AGR2	VNN1	KIF4A	B3GAT3	ACHE	ANK1	GAPDH	GADD45B	IRF9	NAMPT	PLSCR1	IRF8	EDN1	TNFAIP3	CDC27	SERPINH1	PWP1	NPM1	SVIL	DTX2	ATP5MC1	IER3	VDR	PEX6	PTPN11	SH3GL2	GPX3	PGK2	XIAP	RELB	CNOT4	PLPP3	CDKN2B	PPARD	ALDH9A1		
PHYH	HLA-DMB	IDI1	TIMP1	CDH6	NCOA6	FAS	ABCD1	CBS	HPN	CTSB	NELFB	RFC2	MMP2	MYBL1	KRT19	EHHADH	ESPL1	CHST12	PML	NFE2	BHLHE40	NRP1	PDGFC	OPRK1	PSMB9	PSMB9	UPK3B	PRDM1	CNTRL	NUPR1	APEX1	AIMP2	MYOM2	ST3GAL6	CYC1	TP53	PCSK2	ABCB4	MAPKAP1	RAB2A	SCAF4	HSPA2	CDH1	TRAF1	DCP2	NR3C1	SHOX2	NCSTN	POR		
