ADIPOGENESIS	ALLOGRAFT_REJECTION	ANDROGEN_RESPONSE	ANGIOGENESIS	APICAL_JUNCTION	APICAL_SURFACE	APOPTOSIS	BILE_ACID_METABOLISM	CHOLESTEROL_HOMEOSTASIS	COAGULATION	COMPLEMENT	DNA_REPAIR	E2F_TARGETS	EPITHELIAL_MESENCHYMAL_TRANSITION	ESTROGEN_RESPONSE_EARLY	ESTROGEN_RESPONSE_LATE	FATTY_ACID_METABOLISM	G2M_CHECKPOINT	GLYCOLYSIS	HEDGEHOG_SIGNALING	HEME_METABOLISM	HYPOXIA	IL2_STAT5_SIGNALING	IL6_JAK_STAT3_SIGNALING	INFLAMMATORY_RESPONSE	INTERFERON_ALPHA_RESPONSE	INTERFERON_GAMMA_RESPONSE	KRAS_SIGNALING_DN	KRAS_SIGNALING_UP	MITOTIC_SPINDLE	MTORC1_SIGNALING	MYC_TARGETS_V1	MYC_TARGETS_V2	MYOGENESIS	NOTCH_SIGNALING	OXIDATIVE_PHOSPHORYLATION	P53_PATHWAY	PANCREAS_BETA_CELLS	PEROXISOME	PI3K_AKT_MTOR_SIGNALING	PROTEIN_SECRETION	REACTIVE_OXYGEN_SPECIES_PATHWAY	SPERMATOGENESIS	TGF_BETA_SIGNALING	TNFA_SIGNALING_VIA_NFKB	UNFOLDED_PROTEIN_RESPONSE	UV_RESPONSE_DN	UV_RESPONSE_UP	WNT_BETA_CATENIN_SIGNALING	XENOBIOTIC_METABOLISM	Cuproptosis Positive	Cuproptosis negative
ADCY6	IL2RA	SCD		CDH8		VDAC2	SLC35B2		MEP1A	KYNU	GTF2H1	ASF1B	HTRA1	ABCA3	CISH	SLC22A5	TOP1	TPST1		SLC6A8	PLAUR	PTH1R	CD36	FFAR2	TXNIP	FPR1	KRT13	SCN1B	ABL1	RAB1A	TRA2B		SGCA		ATP6V1D	PVT1		TTR	DAPP1	SOD1		MTNR1A		TNFRSF9	SPCS3	CDC42BPA	POLG2		CES1		
ELOVL6	NLRP3	PTK2B		ATP1A3		TAP1	SLC23A1		GP1BA	RASGRP1	HCLS1	POLA2	FGF2	FRK	GLA	PDHB	PDS5B	PGM2		TFRC	CAVIN3	ODC1		PROK2	SLC25A28	HELZ2	GP2	PTBP2	TIAM1	EBP	COX5A		BDKRB2		VDAC2	ZFP36L1		ERCC3	UBE2D3	GLA		RFC4		SGK1	H2AX	CDK13	IL6ST		SHMT2		
LTC4S	CCND3	CDK6		EPB41L2		PLAT	NUDT12		APOA1	USP14	APRT	TIMELESS	SNTB1	DHRS2	PTGES	TDO2	SRSF1	GYS1		RCL1	CCN5	IGF1R		GNAI3	SELL	PSME2	CD207	NAP1L2	KIF1B	PNO1	PA2G4		COX7A1		ACADM	SDC1		ATXN1	CAB39	ATP6V1B1		DBF4		TNIP1	SLC1A4	SFMBT1	HYAL2		TMEM176B		
SPARCL1	EIF3A	ADRM1		MYL9		IFNGR1	ABCA1		SERPINA1	LCP2	ERCC8	HELLS	GADD45A	AQP3	PERP	FASN	STIL	TKTL1		TOP1	LARGE1	PTCH1		TACR1	TRAFD1	SERPING1	CCR8	AKAP12	ITSN1	PIK3R3	PCBP1		COL4A2		COX7A2L	WRAP73		SULT2B1	AP2M1	STX12		PRKAR2A		NAMPT	RPS14	ADORA2B	FOSB		GSTT2		
RMDN3	SIT1	H1-0		SPEG		APP	PAOX		TF	GP1BA	IMPDH2	UBE2S	MEST	KCNK15	OPN3	NBN	ABL1	TGFA		EPOR	NOCT	ENO3		SLC7A1	BATF2	CCL5	ZBTB16	PLAT	SHROOM1	ACTR3	HNRNPA1		PLXNB2		TIMM17A	RAP2B		CRABP2	MAP3K7	CD63		TTK		FOSL2	NPM1	BHLHE40	MGAT1		PLG		
MTCH2	IFNAR2	HSD17B14		ADRA1B		BRCA1	SLC22A18		PEF1	KIF2A	POLB	PRKDC	LRRC15	TGIF2	KRT13	PSME1	DTYMK	CHST2		TNRC6B	S100A4	CD81		CDKN1A	RIPK2	RNF31	PRKN	SCG3	NCK2	LDLR	CCNA2		CTF1		ATP6V1E1	COQ8A		CRABP1	PRKAG1	TOM1L1		DMC1		PNRC1	CNOT6	COL3A1	NKX2-5		HMOX1		
SOWAHC	HDAC9	VAPA		SYK		ROCK1	DIO2		GNG12	GNB4	SDCBP	RAN	TNFRSF11B	FOXC1	HSPB8	PPARA	CDC27	PHKA2		ACSL6	RRAGD	MAFF		CYBB	CCRL2	SOD2	CPA2	ANO1	DLGAP5	SLC2A3	PPIA		COL15A1		NDUFA3	PLXNB2		TOP2A	CSNK2B	SSPN		NCAPH		ID2	CKS1B	KCNMA1	PPAT		SPINT2		
SLC1A5	CARTPT	CCND1		CADM2		PSEN1	RBP1		SIRT2	LCK	SF3A3	USP1	CD59	ELF3	UGDH	NCAPH2	BARD1	STMN1		GAPVD1	ZFP36	EMP1		TIMP1	NUB1	TRIM25	MEFV	IL1RL2	BCR	UBE2D3	EIF3J		KCNH2		SLC25A6	HEXIM1		SCGB1A1	PRKAA2	ARFGAP3		PEBP1		CD69	PSAT1	SYNE1	FURIN		ALDH3A1		
CMPK1	TRAT1	XRCC6		ALOX15B		DCN	SLC23A2		COMP	OLR1	DAD1	SPAG5	ACTA2	REEP1	CLIC3	BPHL	ATF5	GALE		MGST3	EGFR	CDKN1C		HBEGF	OGFR	LAP3	CCNA1	CXCL10	RANBP9	ELOVL5	ORC2		AGRN		IDH3G	PROCR		ERCC1	ATF1	RAB9A		CHRM4		IL7R	EIF4G1	IGF1R	MRPL23		GSR		
REEP6	CCL22	MYL12A		CX3CL1		PSEN2	ATXN1		HTRA1	PREP	UPF3B	POLD3	EFEMP2	PEX11A	KLK11	ODC1	CDC45	MET		SLC30A10	EDN2	CAPN3		SCARF1	MVB12A	PSMA3	SLC38A3	ATG10	EPB41L2	CACYBP	PSMA2		MYO1C		ACADVL	SPHK1		DLG4	SLC2A1	CTSC		TOPBP1		EFNA1	YWHAZ	CELF2	HTR7		ABHD6		
NDUFA5	APBB1	UBE2I		MYH10		SOD2	GCLM		MAFF	MSRB1	GUK1	DUT	MATN2	PODXL	PLAC1	CA6	ODC1	LCT		CAT	IDS	IL1R2		EBI3	ELF1	RNF213	KLK8	YRDC	SEPTIN9	EDEM1	SYNCRIP		SIRT2		ETFA	NOL8		PABPC1	PIN1			SCG5		PHLDA2	SLC30A5	MTA1	CXCL2		XDH		
FZD4	FYB1	PTPN21		DMP1		BMF	NEDD4		LRP1	LTA4H	TP53	TACC3	PCOLCE2	KLF4	ABHD2	DLD	XPO1	IRS2		BCAM	CDKN1A	SYT11		NFKBIA		PELI1	CYP39A1	HDAC9	KATNA1	ATP6V1D	HDAC2		SGCD		TIMM9	DEF6		FABP6	TNFRSF1A			NEFH		PFKFB3	MTREX	EFEMP1	KLHDC3		PPARD		
DRAM2	IL1B	AKT1		CDSN		EREG	RXRG		PF4	ZFPM2	ADRM1	KIF18B	SERPINE2	BAG1	SCARB1	HCCS	SFPQ	POLR3K		HBZ	RORA	TTC39B		SRI		CFB	KCNQ2	PEG3	TUBD1	TES	LSM2		SORBS1		IDH3A	SP1		ABCB9	LCK			MAP7		CCL5	KIF5B	LAMC1	PRPF3		ELOVL5		
MGST3	TIMP1	PA2G4		MAPK13		KRT18	AR		CPQ	LYN	SEC61A1	CDC25B	GPC1	CELSR1	DCXR	EPHX1	TMPO	B4GALT1		ACKR1	DUSP1	ANXA4		SLC7A2		CD86	SLC30A3	SEMA3B	TPX2	TM7SF2	VBP1		VIPR1		TIMM8B	JAG2		CACNA1B	RPS6KA3			BUB1		YRDC	DCP1A	PHF3	DNAJB1		CYP4F2		
ATP1B3	RPS19			MYL12B		TGFB2	BMP6		MMP15	ACTN2	POLA2	SRSF1	ABI3BP	PLAAT3	CCND1	DLST	PML	EFNA3		PSMD9	MIF	BATF		CCL17		TXNIP	CHST2	TNNT2	KIF3C	PSMA3	PSMA6		FGF2		ATP6AP1	CCP110		SEMA3C	NGF			SEPTIN4		IFNGR2	IFIT1	SCAF8	AP2S1		RETSAT		
RETN	JAK2			RAC2		RELA	SERPINA6		RABIF	SIRT6	FEN1	GINS3	FUCA1	SLC7A5	SFN	FMO1	BRCA2	LHX9		ISCA1	PPP1R3C	P4HA1		TLR3		HLA-DQA1	ITIH3	LIF	SHROOM2	ITGB2	CNBP		FKBP1B		TIMM13	DRAM1		VPS4B	CXCR4			PGS1		SQSTM1	IMP3	VAV2	PSMC3		CYFIP2		
STOM	KRT1			FBN1		WEE1	LIPE		HRG	APOC1	ZNF707	NOLC1	SLIT3	MPPED2	ABCA3	AOC3	CTCF	KDELR3		PDZK1IP1	DPYSL4	GPR65		APLNR		GCH1	EGF	CFB	TUBGCP6	AK4	CDK2		TEAD4		UQCRQ	RPL18		CEL	ACACA			NPY5R		BTG3	SPCS1	PIAS3	TST		PINK1		
ESYT1	WARS1			DSC1		RARA	EFHC1		C8G	PRKCD	NUDT9	SLBP	LAMA1	TIAM1	SULT2B1	UROD	KNL1	TALDO1		H4C3	KDELR3	SLC1A5		OSMR		PNP	MSH5	BTC	SPTAN1	SLC1A4	TARDBP		CASQ1		ABCB7	CEBPA		ESR2	SMAD2			TSN		GADD45B	DNAJA4	ACVR2A	SIGMAR1		GCLC		
GHITM	IFNGR2			CD34		CD14	IDH2		APOC2	ITGAM	PDE6G	CHEK2	PMEPA1	CLDN7	CCNA1	CPT1A	KMT5A	DPYSL4		ICAM4	DTNA	IGF2R		IL10RA		CCL7	TEX15	PPP1R15A	PALLD	TOMM40	NOLC1		KLF5		VDAC1	KIF13B			PAK4			CDK1		KYNU	VEGFA	NRP1	GCH1		ESR1		
DNAJC15	CCR2			ICAM4		CD69	IDI1		SERPINB2	DGKH	TYMS	SPC25	COL8A2	MYOF	STIL	KMT5A	SLC38A1	VLDLR		MOCOS	ADORA2B	CKAP4		PSEN1		PTPN6	CLPS	PTPRR	ARFIP2	SLC6A6	GSPT1		PDLIM7		ATP5MG	MXD1						SHE		G0S2	TTC37	MRPS31	BTG2		PMM1		
GADD45A	EREG			MSN		PEA15	CH25H		RAPGEF3	LTF	BCAP31	BARD1	FBN2	RBBP8	MICB	UBE2L6	TRA2B	CD44		ADD1	HS3ST1	CCR4		GPR183		SPPL2A	ENTPD7	CCL20	KNTC1	PPIA	HNRNPA2B1		AK1		PHB2	TRAFD1						PARP2		BTG1	TUBB2A	CCN1	CEBPG		TDO2		
VEGFB	MMP9			MAPK11		DNAJC3	ABCA5		CPN1	MAFF	DDB1	DCTPP1	IGFBP2	OLFML3	ZFP36	MIF	MYBL2	AGL		FTCD	CAVIN1	CD44		ATP2B1		IL4R	CLSTN3	ARG1	HOOK3	ADD3	ETF1		TAGLN		DECR1	OSGIN1						TNNI3		MCL1	FUS	DAB2	TARS1		MT2A		
PFKL	EGFR			ACTC1		CASP2	SULT2B1		ITGA2	KCNIP2	NFX1	SMC3	PFN2	GFRA1	CAV1	SUCLG2	TROAP	SOX9		ADD2	NR3C1	P2RX4		TNFRSF1B		PNPT1	CYP11B2	RETN	SUN2	ME1	RPL6		RIT1		SUCLA2	ANKRA2						PCSK1N		VEGFA	EXOSC10	MAGI2	UROD		ATP2A2		
COQ3	IL16			TRAF1		CTH	SOAT2		RAC1	PCLO	RAD52	RNASEH2A	SDC4	FARP1	NBL1	CPOX	TENT4A	DDIT4		BMP2K	KLF6	GATA1		BEST1		DHX58	CLDN16	KLF4	MID1IP1	CCNF	TOMM70		MEF2A		GOT2	HBEGF						IDE		MAP2K3	EEF2	ANXA4	PARP2		DDT		
NABP1	CFP			CRB3		PLCB2	TFCP2L1		DPP4	DOCK10	ADCY6	DEK	CD44	SVIL	CD44	SMS	CUL3	IDUA		BPGM	GPC4	KLF6		GPC3		BTG1	HSD11B2	MMD	DLG1	SLC37A4	PTGES3		ANKRD2		DLAT	RAD51C						GPR182		CDKN1A	EXOC2	COL1A1	BTG3		FABP1		
CYP4B1	WAS			ITGA2		BMP2	NR0B2		WDR1	SH2B3	ARL6IP1	CENPM	GADD45B	TGM2	HR	CBR3	MAPK14	CASP6		CLCN3	CCN1	ARL4A		SCN1B		CASP8	COQ8A	PDCD1LG2	FLNA	ALDOA	PSMA1		AKT2		ATP6V1H	ITGB4						RAD17		CCN1	PAIP1	SCHIP1	DLG4		ACP2		
PPM1B	ITGAL			ITGA10		HMGB2			THBS1	RABIF	DGUOK	RAD51C	CXCL8	DEPTOR	HOMER2	NTHL1	H2BC12	GLCE		E2F2	TNFAIP3	HOPX		ACVR1B		IFI30	HNF1A	H2BC3	ARHGAP10	BTG2	PSMC6		LAMA2		NDUFB2	TRIB3						TLE4		TANK	BANF1	DDAH1	CHRNA5		ABCD2		
ARAF	KLRD1			BAIAP2		PLPPR4			FYN	SRC	POLL	CBX5	GLIPR1	CYP26B1	BTG3	CIDEA	MYC	COPB2		HAGH	CA12	GPR83		HPN		CCL2	FGF22	HOXD11	CDC42BPA	UFM1	CTPS1		DENND2B		FDX1	INHBB						ACE		IFIT2		PDGFRB	NPTX2		G6PC1		
CAVIN1	RARS1			ARHGEF6		H1-0			PDGFB	HPCAL4	SMAD5	RFC1	ANPEP	PAPSS2	GAL	IDI1	AMD1	DSC2		KDM7A	HEXA	ITGA6		SEMA4D		FGL2	TFCP2L1	TRIB1	ARHGEF12	CCNG1	HSPE1		IFRD1		HADHA	VAMP8						SIRT1		IL18		ATRX	ATP6V1C1		DDC		
COL4A1	TLR2			ACTG1		TGFBR3			SH2B2	CD46	MPG	POLD2	P3H1	SLC1A1	ETFB	AADAT	CBX1	HS6ST2		OPTN	BGN	CD48		KLF6		CASP7	OXT	F2RL1	MARCKS	STC1	FAM120A		NCAM1		ATP6V1C1	VWA5A						HTR5A		TUBB2A		KALRN	AQP3		ACOX3		
IMMT	CCND2			MVD		EBP			PECAM1	PRDM4	DUT	DSCC1	VEGFC	DLC1	BAG1	REEP6	CHMP1A	CDK1		RAP1GAP	PPP1R15A	DRC1		CD48		SECTM1	KCND1	ANXA10	NIN	NMT1	PPM1G		SYNGR2		MAOB	ABAT						TALDO1		IRF1		TGFBR2	PLCL1		SAR1B		
DHRS7	IL2RG			PDZD3		TXNIP			MMP7	GNAI3	POLA1	ILF3	MMP14	JAK2	FRK	HSPH1	DKC1	PLOD1		CTNS	PGM2	SELP		CXCR6		IL15RA	MACROH2A2	TSPAN13	PCM1	PSMC6	HNRNPD		PICK1		NDUFB4	CTSD						NF2		FOS		PTGFR	NUP58		FBLN1		
COL15A1	ETS1			ADAM9		ANKH			DUSP6	C9	AGO4	DEPDC1	SGCD	AFF1	SLC16A1	APEX1	YTHDC1	SDC2		NFE2L1	PIM1	GLIPR2		SLC1A2		CD40	NRIP2	MTMR10	RALBP1	FDXR	SERBP1		COL6A3		UQCR10	PTPRE						CLVS1		OLR1		ATP2C1	TYRO3		ADH5		
NMT1	ITK			PCDH1		RHOT2			CPB2	PPP2CB	RALA	DCK	PLOD1	KLK10	AFF1	NSDHL	CCNT1	GMPPB		ELL2	PRDX5	SMPDL3A		GP1BA		TRAFD1	RGS11	CFH	EZR	RRM2	CSTF2		CRAT		ETFDH	HINT1						CNIH2		RHOB		ARHGEF9	HMOX1		CRP		
COQ5	NCR1			SLIT2		CYLD			S100A13	IRF2	ZWINT	CDKN2C	MATN3	P2RY2	TFAP2C	ADIPOR2	TGFB1	PAXIP1		SLC2A1	NAGK	PLSCR1		TAPBP		HLA-DRB1	CPEB3	LAT2	SSH2	DHCR24	PRDX4		DMPK		GPX4	ALOX15B						GRM8		AREG		NFKB1	RPN1		ABCC2		
LAMA4	MAP4K1			KRT31		GSTM1			CFD	FYN	BCAM	MYC	MYL9	BLVRB	IGSF1	ACSL4	ATRX	NSDHL		PIGQ	CDKN1B	FURIN		RGS16		GBP6	TG	ERO1A	CDK1	PSMC4	EIF4E		MYH11		PDHX	VDR						STRBP		NINJ1		MGLL	BTG1		ETS2		
AGPAT3	CCL19			SGCE		GSR			DCT	JAK2	TK2	TCF19	SLC6A8	CISH	HPRT1	ACSS1	LIG3	RARS1		KLF3	BRS3	SERPINB6		SLAMF1		LCP2	PTPRJ	RELN	RAB3GAP1	CTH	ODC1		MYH9		MFN2	ELP1						ADCYAP1		ZBTB10		FBLN5	FMO1		NPC1		
BAZ2A	PSMB10			GNAI1		BGN			LEFTY2	PLA2G4A	CSTF3	RAD1	CALU	GLA	CDC6	ENO3	NUP50	SLC16A3		EPB41	TKTL1	TNFSF11		LCK		HLA-G	NUDT11	KCNN4	FARP1	PSME3	USP1		IGF1		AIFM1	WWP1						ALOX15		PLPP3		PDLIM5	ASNS		CASP6		
IDH3A	RPL39			PIK3CB		BCL2L1			ANG	PRCP	GTF2H5	LBR	PRRX1	ADD3	FARP1	IDH3G	SLC7A5	GLRX		LAMP2	MT1E	GPX4		HIF1A		MT2A	FSHB	TMEM176A	SYNPO	CFP	RPL22		CKB		ACAA2	NUPR1						MEP1B		KLF4		MAPK14	DDX21		BPHL		
LIFR	EIF3J			NLGN2		GNA15			C1QA	USP8	HPRT1	NBN	TNFRSF12A	PDLIM3	AMFR	LGALS1	RBL1	SRD5A3		TMEM9B	ATP7A	LRRC8C		AHR		RIPK1	IDUA	MAP4K1	RHOF	POLR3G	HNRNPA3		FST		ETFB	TCN2						SCG3		CXCL11		SRI	KCNH2		IL1R1		
PREB	ABCE1			YWHAH		MGMT			HMGCS2	RHOG	BOLA2	PTTG1	FMOD	MINDY1	DHRS2	METAP1	NUMA1	SDC3		EZH1	MT2A	CCNE1		NMI		KLRK1	TNNI3	PTGS2	ECT2	ACACA	NCBP1		GPX3		COX11	CDKN2AIP						GFI1		SAT1		INPP4B	COL2A1		ENTPD5		
PTGER3	CD8B			PARVA		PPT1			ISCU	L3MBTL4	GPX4	UBR7	ID2	FOS	NXT1	ALDOA	RAD54L	HDLBP		CTSB	SDC3	CASP3		RHOG		UPP1	GTF3C5	IL33	EPB41	QDPR	RPLP0		PVALB		ECHS1	POM121						ELOVL3		CSF1		IGFBP5	MAOA		TNFRSF1A		
GPHN	F2			CRAT		F2			PLEK	LAMP2	MPC2	POLE4	GEM	KRT8	S100A9	ACSM3	EFNA5	COL5A1		ATG4A	TIPARP	SH3BGRL2		TPBG		PSMB2	TFF2	MAFB	RAPGEF6	MCM2	ABCE1		PTP4A3		PMPCA	ZNF365						IL12RB2		GPR183		ITGB3	TCHH		IGFBP4		
PFKFB3	ELF4			ADAMTS5		IL6			APOC3	PIM1	CDA	TUBG1	PLAUR	SLC37A1	SLC29A1	LTC4S	PRPF4B	CLDN9		MFHAS1	PKP1	SNX9		NPFFR2		TDRD7	SSTR4	LCP1	KIF22	PSMD12	EIF1AX		ITGB1		ATP6V0B	EPHA2						DMRT1		PMEPA1		BDNF	CYB5B		PYCR1		
GPX4	LY86			AMH		SC5D			P2RY1	CXCL1	ALYREF	CTCF	MYLK	B4GALT1	SLC24A3	D2HGDH	UCK2	TFF3		MYL4	ANXA2	PLEC		IFNAR1		HIF1A	COPZ2	NGF	PCGF5	SC5D	YWHAE		HSPB8		SLC25A5	JUN						GAD1		PTPRE		ID1	HSPA13		CSAD		
SSPN	FCGR2B			EGFR		IFITM3			USP11	F3	MRPL40	CNOT9	TGFB1	CALCR	FOXC1	ADSL	ARID4A	STC1		RNF19A	PGAM2	BMP2		ICOSLG		EIF4E3	PDCD1	CA2	STAU1	CANX	MCM7		ACHE		DLST	MAPKAPK3						CFTR		TLR2		SNAI2	GGH		VTN		
SQOR	GBP2			ICAM2		RNASEL			TIMP3	GNAI2	NPR2	TUBB	SFRP1	ESRP2	KIF20A	SUCLA2	CUL1	KIF20A		BTG2	DDIT3	ICOS		RASGRP1		VAMP8	SLC16A7	SERPINA3	ARHGDIA	RPN1	YWHAQ		CHRNG		COX15	SLC7A11						JAM3		ACKR3		SCN8A	GAL		ID2		
MTARC2	PRKCG			CD274		EMP1			ACOX2	CASP9	REV3L	SMC6	PLOD3	IGF1R	TOB1	SDHA	UPF1	GYS2		SLC11A2	PRKCA	ALCAM		IFITM1		PFKP	KCNE2	RGS16	AURKA	HSPA4	VDAC1		PKIA		CYB5A	SERTAD3						IP6K1		KLF10		ATP2B1	NTRK3		ETFDH		
DLD	RPS9			CDH15		CAV1			HNF4A	XPNPEP1	EDF1	ZW10	IL6	NBL1	FDFT1	XIST	DR1	SLC37A4		ADIPOR1	SLC37A4	LTB		KCNJ2		CD38	MFSD6	CTSS	FBXO5	NIBAN1	SMARCC1		NAV2		ALAS1	IRAK1						HOXB1		MARCKS		FHL2	PPT1		HRG		
ITIH5	MTIF2			SHC1		DNM1L			S100A1	PLSCR1	GSDME	PA2G4	APLP1	SFN	DNAJC1	OSTC	MNAT1	LHPP		ASNS	CXCR4	ENPP1		LY6E		ZBP1	KLHDC8A	USP12	NUSAP1	TBK1	SNRPD2		HDAC5		SLC25A4	ABCC5								LAMB3		KIT	FGF18		TYR		
CD302	GZMA			MPZL2		ANXA1			GNB2	IRF7	TMED2	SSRP1	FBLN2	OPN3	TPSAB1	GLUL	SMC2	SDHC		DCUN1D1	EFNA3	IL1RL1		IL18R1		BANK1	CNTFR	CPE	PXN	SEC11A	HNRNPU		ATP6AP1		CPT1A	UPP1								CEBPB		APBB2	FKBP4		UPP1		
ATL2	AARS1			WNK4		TOP2A			ARF4	CD55	STX3	NAP1L1	MSX1	ABHD2	GFUS	CYP4A22	RBM14	NASP		ALDH1L1	CP	MYO1C		IL10		TOR1B	IL5	SPARCL1	BCAR1	BCAT1	HDDC2		CLU		SLC25A20	CD81								TRIP10		PIK3CD	STIP1		BCAR1		
GPAT4	CD96			NFASC		ISG20				HSPA5	RAE1	ANP32E	PTX3	AR	FGFR3	GABARAPL1	RPA2	AURKA		DCAF10	KLF7	IFNGR1		KCNA3		RBCK1	NPHS1	ABCB1	CD2AP	PSMB5	PSMD3		ACSL1		MTRR	LIF								F2RL1		DLC1	EIF5		CBR1		
LPCAT3	CSK			PIK3R3		SLC20A1				GNB2	UMPS	HMGB3	FZD8	SLC39A6	SGK1	AQP7	SQLE	B3GNT3		YPEL5	CCN2	PLIN2		HAS2		PDE4B	SCGB1A1	USH1C	AKAP13	PSMD13	RRM1		COL1A1		COX17	RPL36								KLF9		MT1E	ENO2		APOE		
TKT	HIF1A			SDC3		MADD				DYRK2	EIF1B	IPO7	JUN	SYT12	ID2	CYP1A1	ORC6	ISG20		SEC14L1	CHST3	IL18R1		DCBLD2		MVP	CCDC106	CSF2RA	HDAC6	PGM1	SF3A1		MRAS		CYB5R3	FAM162A								LDLR		DBP	GPX3		SLC12A4		
UQCRC1	CCL2			SIRPA		PPP2R5B				PLA2G7	AK3	RAD21	FERMT2	CD44	GALE	PRDX6	CDK4	LDHC		USP15	TPD52	AHNAK		LAMP3		IL7	PAX3	BTBD3	CEP131	PLK1	LSM7		PDE4DIP		TOMM22	RNF19B								TGIF1		HAS2	PRKACA		TMEM97		
CAT	ICOSLG			GRB7		BCAP31				S100A12	NUDT21	CDK4	DKK1	MED24	BATF	ERP29	POLE	ARPP19		RIOK3	LXN	PRKCH		VIP		BPGM	VPREB1	IL2RG	LLGL1	GLRX	ERH		AGL		ACAT1	CDK5R1								RNF19B		SLC22A18	PRKCD		SLC46A3		
OMD	NPM1			FLNC		ERBB3				GRB2	RBX1	CDKN1A	SNAI2	BCL11B	MAPK13	H2AZ1	RASAL2	CENPA		SIDT2	B4GALNT2	TNFRSF8		CD70		CMTR1	TSHB	DNMBP	ATG4B	COPS5	RPL14		ERBB3		MRPS11	STEAP3								DRAM1		ICA1	STARD3		PTGDS		
DLAT	IL4R			PARD6G		NEDD9				PHEX	SRSF6	BRMS1L	DST	CANT1	FABP5	GAPDHS	HOXC10	HOMER1		FOXJ2	PPARGC1A	SYNGR2		RGS1		AUTS2	CACNA1F	IL10RA	PCNT	ETF1	PSMB3		GABARAPL2		ATP6V0C	PITPNC1								B4GALT1			MARK2		MPP2		
MRPL15	CCL11			COL9A1		SAT1				GNGT2	GMPR2	CTPS1	TPM4	KRT13	MEST	DHCR24	RPS6KA5	BIK		TCEA1	BCL2	GALM		SLC31A1		B2M	AKR1B10	EREG	ALMS1	GSK3B	IFRD1		CAV3		PDK4	SLC35D1								DNAJB4			SLC6A12		PTGR1		
RIOK3	NME1			NRXN2		PDCD4				DOCK4	DCTN4	RAD50	DCN	KRT15	JAK1	GAD2	CUL4A	CYB5A		VEZF1	GCNT2	POU2F1		ADRM1		RIPK2	P2RX6	PRELID3B	KPTN	NUP205	NCBP2		BHLHE40		TIMM10	TPRKB								CSF2			SQSTM1		AQP9		
RTN3	FLNA			MAP3K20		BCL2L2				MMP12	COX17	TRA2B	GJA1	TOB1	CYP4F11	PTPRG	SLC7A1	HAX1		LPIN2	HAS1	EOMES		KCNMB2		CD69	KRT15	EPHB2	DST	SORD	GLO1		PPP1R3C		LDHA	RRP8								PDE4B			PTPRD		EPHA2		
CHUK	GPR65			SLC30A3		FEZ1				KCNIP3	CMPK2	CSE1L	PMP22	SLC7A2	KCNK5	IL4I1	FOXN3	COG2		PC	KLHL24	NOP2		SERPINE1		MYD88	PAX4	FBXO4	KIFAP3	PHGDH	NDUFAB1		LARGE1		ECI1	IL1A								SNN			MAPK8IP2		PSMB10		
G3BP2	ACHE			RHOF		ERBB2				FDX1	CCNO	PAICS	IGFBP4	LAD1	CPE	TP53INP2	HMGA1	IL13RA1		HBBP1	SCARB1	PTRH2		MXD1		PSMA2	BTG2	CROT	PPP4R2	GMPS	CUL1		LPIN1		MRPL11	PMM1								PLEK			CDK2		FAS		
SDHC	EIF3D			BMP1		DNAJA1				TIMP2		STAG1	COPA	TUBB2B	XRCC3	PDHA1	SS18	NOL3		CDR2	SLC25A1	RHOH		AXL		PIM1	GPR3	MPZL2	ARHGAP29	RRP9	NHP2		CDH13		FXN	TPD52L1								STAT5A			ONECUT1		ACOX1		
SAMM50	IGSF6			MMP2		DAP3				MMP8		LUC7L3	LRP1	TBC1D30	CXCL14	RAP1GDS1	TRAIP	CLDN3		CCND3	SDC2	CDC6		MEFV		NOD1	GRID2	ANKH	RASAL2	EEF1E1	CLNS1A		NQO1		MRPS12	IFI30								DENND5A			RFC4		GART		
ARL4A	F2R			ICAM5		DPYD				FCER1G		PPM1D	ITGA2	SEC14L2	SCUBE2	CEL	PRMT5	AGRN		SLC25A38	CASP6	MYO1E		PVR		CFH	TCL1A	CBR4	CCNB2	LTA4H	TRIM28		PRNP		COX10	GM2A								CCND1			CA2		HPRT1		
SNCG	IL13			VWF		NEFH				RBSN		NME1	FLNA	ENDOD1	CDC20	BLVRA	CUL5	CLN6		TENT5C	VHL	CXCL10		CCL24		TAPBP	PLAG1	DOCK2	PIF1	SDF2L1	RSL1D1		PSEN2		RHOT1	RPS12								DDX58			TACR3		PGD		
PDCD4	TAP1			MYH9		PAK1				ANXA5		SRSF2	MFAP5	HR	IL6ST	SERINC1	DDX39A	TXN		FBXO34	FOXO3	SNX14		PDE4B		SLC25A28	PKP1	GPRC5B	RASA2	FKBP2	HNRNPC		DAPK2		ACAA1	EPS8L2								SPHK1			AMD1		ABCC3		
COQ9	DARS1			CD209		FDXR				CTSV		XPO1	PTHLH	SCARB1	GINS2	BMPR1B	MARCKS	PAM		BACH1	PDGFB	IRF6		LCP2		PTPN1	IRS4	RABGAP1L	NEDD9	RDH11	COPS5		LSP1		ACADSB	TM4SF1								CD80			HNRNPU		SMOX		
APLP2	IRF7			VCAM1		GPX4				GCA		HNRNPD	TGFBR3	NCOR2	TRIM29	RDH11	PBK	CAPN5		NR3C1	B3GALT6	IL10RA		PDPN		TNFAIP3	IL12B	MALL	SMC1A	CXCR4	XRCC6		SLC6A8		LDHB	BLCAP								TNFAIP8			WIZ		TTPA		
